FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,04/30/2015,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,04/30/2015,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,04/30/2015,9.7522,9.7478,,,,,9.2496,9.2496,8.9138
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,04/30/2015,9.9765,,,,,,9.9847,9.9847,
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,04/30/2015,13.5482,11.6773,8.0551,7.6165,4.6384,,13.7652,13.7652,13.6319
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,04/30/2015,9.9614,10.3145,8.2858,7.4017,5.1612,,9.6439,9.6439,9.7473
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,04/30/2015,5.2191,5.1458,3.7853,4.3688,5.8514,,5.2499,5.2499,5.3192
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,04/30/2015,15.4524,13.8616,9.1426,5.9685,4.1322,,16.2651,16.2651,15.7957
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,04/30/2015,12.0241,10.7527,7.0891,7.2626,10.1696,,11.8787,11.8787,12.1012
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,04/30/2015,25.1739,20.4489,12.9381,12.2219,8.403,,25.0118,25.0118,23.1801
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,04/30/2015,12.3262,12.8474,10.9665,11.8338,9.8497,,12.3748,12.3748,12.5581
F7405996496BB110C0A80134,F83B18A442630954C0A80133,04/30/2015,40.719,36.96,25.147,22.6184,,,41.6067,41.6067,40.6107
672218A442633A99C0A80133,81CC18A442633A05C0A80133,04/30/2015,13.3347,12.7436,12.1381,12.2334,9.8655,,13.1152,13.1152,13.0124
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,04/30/2015,15.0845,14.9186,12.6018,12.2751,,,14.8862,14.8862,14.8152
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,04/30/2015,9.9041,10.0655,11.0023,13.8029,,,9.4504,9.4504,9.9149
463001764B49A629C0A80132,81CC18A442633A05C0A80133,04/30/2015,8.7661,8.8632,9.0739,9.8583,,,8.7433,8.7433,8.7644
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,04/30/2015,48.4814,39.517,34.445,21.4403,9.9967,,49.0097,49.0097,53.9301
7D2268CA45CCC3E5C0A80132,B3CD31424263F376C0A80133,04/30/2015,17.7832,15.2864,12.0281,9.2556,,,17.8787,17.8787,17.2622
58BC2CEA3D3D9937C0A801E2,DCE94A633B7ACC6DC0A801E0,04/30/2015,-0.2991,0.6962,1.8974,3.3769,13.9972,,0.0867,0.0867,0.34
5D062CEA3D3D9977C0A801E2,DCE94A633B7ACC6DC0A801E0,04/30/2015,-0.3497,0.7108,1.9816,3.5459,15.1179,,0.0588,0.0588,0.3282
5D082CEA3D3D9998C0A801E2,DCE94A633B7ACC6DC0A801E0,04/30/2015,-0.1783,0.7937,1.9507,3.3772,13.8783,,0.196,0.196,0.4427
5D0A2CEA3D3D99B6C0A801E2,DCE94A633B7ACC6DC0A801E0,04/30/2015,-0.2875,0.7055,1.9071,3.3873,13.8943,,0.0983,0.0983,0.3512
