FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,01/31/2016,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,01/31/2016,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,01/31/2016,10.3238,9.0933,,,,,11.3981,11.3981,11.3981
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,01/31/2016,8.8119,,,,,,9.5444,9.5444,9.5444
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,01/31/2016,12.0572,13.1519,8.711,7.4636,6.2757,10.4845,13.6563,13.6563,13.6563
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,01/31/2016,9.0086,9.3549,8.8647,7.8508,6.3877,10.5727,9.3647,9.3647,9.3647
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,01/31/2016,5.0685,5.3751,3.9846,4.5185,7.5445,13.1909,4.9723,4.9723,4.9723
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,01/31/2016,12.7717,16.0353,10.5891,5.92,5.4303,9.9653,14.6824,14.6824,14.6824
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,01/31/2016,10.0273,11.0318,7.7352,7.051,13.4966,10.1239,11.8705,11.8705,11.8705
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,01/31/2016,20.6171,24.1823,14.6403,11.6012,10.4128,,23.7772,23.7772,23.7772
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,01/31/2016,11.1737,12.3081,10.8771,12.3355,10.6467,,11.2897,11.2897,11.2897
F7405996496BB110C0A80134,F83B18A442630954C0A80133,01/31/2016,35.3787,40.7846,23.2384,22.2387,,,37.986,37.986,37.986
672218A442633A99C0A80133,81CC18A442633A05C0A80133,01/31/2016,12.1963,13.1382,12.6627,13.4475,11.6364,,12.7881,12.7881,12.7881
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,01/31/2016,14.1546,14.6291,13.4164,12.4071,11.6682,,14.6869,14.6869,14.6869
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,01/31/2016,6.6938,9.6158,11.11,13.7404,,,7.2979,7.2979,7.2979
463001764B49A629C0A80132,81CC18A442633A05C0A80133,01/31/2016,8.5771,8.7449,8.9603,9.6607,,,8.5967,8.5967,8.5967
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,01/31/2016,42.2162,51.0073,28.9216,29.3981,10.491,,45.7009,45.7009,45.7009
7D2268CA45CCC3E5C0A80132,B3CD31424263F376C0A80133,01/31/2016,15.5556,17.0747,12.1582,10.3939,,,16.6118,16.6118,16.6118
58BC2CEA3D3D9937C0A801E2,DCE94A633B7ACC6DC0A801E0,01/31/2016,-0.9965,0.1813,1.444,3.7298,24.0712,,-0.7257,-0.7257,-0.7257
5D062CEA3D3D9977C0A801E2,DCE94A633B7ACC6DC0A801E0,01/31/2016,-1.0888,0.16,1.5007,3.919,25.6224,,-0.802,-0.802,-0.802
5D082CEA3D3D9998C0A801E2,DCE94A633B7ACC6DC0A801E0,01/31/2016,-0.8534,0.2888,1.5128,3.7213,23.8947,,-0.5908,-0.5908,-0.5908
5D0A2CEA3D3D99B6C0A801E2,DCE94A633B7ACC6DC0A801E0,01/31/2016,-0.9847,0.1925,1.454,3.7405,23.9231,,-0.714,-0.714,-0.714
