FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,11/30/2015,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,11/30/2015,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,11/30/2015,11.5418,9.9452,,,,,11.2473,10.0913,8.9138
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,11/30/2015,10.7425,,,,,,10.8217,10.006,
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,11/30/2015,14.0018,13.275,7.9846,7.1782,5.9979,9.342,13.5014,12.1203,13.6319
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,11/30/2015,9.5111,10.1324,8.5425,7.4586,6.1375,9.1916,9.661,9.1407,9.7473
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,11/30/2015,5.036,5.2446,3.7352,4.3007,6.0719,8.5582,5.0695,4.8333,5.3192
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,11/30/2015,14.7932,15.7173,10.4564,5.6574,5.1901,9.0663,14.517,13.5914,15.7957
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,11/30/2015,12.3345,11.8811,6.9727,6.086,12.5554,,12.0038,11.3272,12.1012
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,11/30/2015,24.0807,23.4524,14.3445,11.2313,10.3407,,24.0563,22.8056,23.1801
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,11/30/2015,11.5629,12.6884,10.4146,11.7127,10.4762,,11.6618,11.0922,12.5581
F7405996496BB110C0A80134,F83B18A442630954C0A80133,11/30/2015,40.4359,39.5778,24.7316,21.1542,,,40.4119,37.695,40.6107
672218A442633A99C0A80133,81CC18A442633A05C0A80133,11/30/2015,12.7681,13.0209,12.1848,13.2632,10.81,,12.7372,12.1458,13.0124
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,11/30/2015,14.6808,15.1483,12.7297,11.9016,10.4254,,14.5561,13.8501,14.8152
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,11/30/2015,7.8678,10.6307,9.9674,13.788,,,7.9307,7.1555,9.9149
463001764B49A629C0A80132,81CC18A442633A05C0A80133,11/30/2015,8.6155,8.8054,8.9771,9.6405,,,8.6284,8.6187,8.7644
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,11/30/2015,51.6735,57.8583,26.1991,28.4737,10.2549,,45.8429,34.6958,53.9301
7D2268CA45CCC3E5C0A80132,B3CD31424263F376C0A80133,11/30/2015,17.3469,17.618,12.5933,9.5544,,,17.4359,16.3716,17.2622
58BC2CEA3D3D9937C0A801E2,DCE94A633B7ACC6DC0A801E0,11/30/2015,-0.7849,0.8842,0.7767,4.3124,16.2099,,-0.7906,-0.4054,0.34
5D062CEA3D3D9977C0A801E2,DCE94A633B7ACC6DC0A801E0,11/30/2015,-0.8646,0.9054,0.7944,4.5359,17.5352,,-0.8705,-0.4626,0.3282
5D082CEA3D3D9998C0A801E2,DCE94A633B7ACC6DC0A801E0,11/30/2015,-0.6484,0.9721,0.8646,4.2862,16.0683,,-0.6541,-0.2804,0.4427
5D0A2CEA3D3D99B6C0A801E2,DCE94A633B7ACC6DC0A801E0,11/30/2015,-0.7732,0.895,0.7866,4.323,16.0902,,-0.7788,-0.3936,0.3512
5D0C2CEA3D3D99D7C0A801E2,DCE94A633B7ACC6DC0A801E0,11/30/2015,-0.7693,0.9429,0.8272,4.4748,16.0491,,-0.7752,-0.3787,0.3854
5D0E2CEA3D3D99F7C0A801E2,DCE94A633B7ACC6DC0A801E0,11/30/2015,-0.7839,0.8847,0.7769,4.3134,16.0684,,-0.7896,-0.4044,0.3408
