FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,02/29/2016,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,02/29/2016,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,02/29/2016,10.3426,9.6595,,,,,10.3238,11.3981,11.3981
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,02/29/2016,8.7863,9.9929,,,,,8.8119,9.5444,9.5444
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,02/29/2016,12.0072,13.9548,8.9003,7.5198,6.4202,8.4592,12.0572,13.6563,13.6563
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,02/29/2016,9.2198,9.8931,8.7666,7.7919,6.4158,7.8502,9.0086,9.3647,9.3647
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,02/29/2016,5.2162,5.3166,4.0916,4.453,7.41,10.6523,5.0685,4.9723,4.9723
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,02/29/2016,12.3406,16.2529,10.643,5.9302,5.7716,8.5072,12.7717,14.6824,14.6824
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,02/29/2016,9.8386,11.8901,7.8671,7.0973,13.8647,9.4681,10.0273,11.8705,11.8705
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,02/29/2016,20.4433,24.8189,15.3405,11.5568,10.7866,,20.6171,23.7772,23.7772
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,02/29/2016,11.1052,12.6257,10.8143,12.217,10.7253,,11.1737,11.2897,11.2897
F7405996496BB110C0A80134,F83B18A442630954C0A80133,02/29/2016,37.1352,42.2706,26.5046,22.8663,,,35.3787,37.986,37.986
672218A442633A99C0A80133,81CC18A442633A05C0A80133,02/29/2016,12.4308,13.5232,12.1878,13.7129,11.5133,,12.1963,12.7881,12.7881
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,02/29/2016,14.1869,15.2895,13.5298,12.6357,11.7181,,14.1546,14.6869,14.6869
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,02/29/2016,6.8104,9.9085,10.3885,13.8483,,,6.6938,7.2979,7.2979
463001764B49A629C0A80132,81CC18A442633A05C0A80133,02/29/2016,8.5973,8.7819,8.9054,9.6015,,,8.5771,8.5967,8.5967
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,02/29/2016,42.8517,48.5114,25.8081,31.2702,10.2217,,42.2162,45.7009,45.7009
7D2268CA45CCC3E5C0A80132,B3CD31424263F376C0A80133,02/29/2016,15.5464,18.1918,12.1844,10.6047,,,15.5556,16.6118,16.6118
58BC2CEA3D3D9937C0A801E2,DCE94A633B7ACC6DC0A801E0,02/29/2016,-1.0789,0.2826,1.7337,4.2504,24.7817,,-0.9965,-0.7257,-0.7257
5D062CEA3D3D9977C0A801E2,DCE94A633B7ACC6DC0A801E0,02/29/2016,-1.1761,0.2662,1.8064,4.4701,26.3763,,-1.0888,-0.802,-0.802
5D082CEA3D3D9998C0A801E2,DCE94A633B7ACC6DC0A801E0,02/29/2016,-0.9332,0.3859,1.7928,4.2267,24.5647,,-0.8534,-0.5908,-0.5908
5D0A2CEA3D3D99B6C0A801E2,DCE94A633B7ACC6DC0A801E0,02/29/2016,-1.0671,0.2941,1.744,4.261,24.5941,,-0.9847,-0.714,-0.714
5D0C2CEA3D3D99D7C0A801E2,DCE94A633B7ACC6DC0A801E0,02/29/2016,-1.0717,0.329,1.8154,4.4108,24.2785,,-0.987,-0.7083,-0.7083
5D0E2CEA3D3D99F7C0A801E2,DCE94A633B7ACC6DC0A801E0,02/29/2016,-1.0779,0.2835,1.7341,4.2513,24.5908,,-0.9955,-0.7247,-0.7247
5D102CEA3D3D9A17C0A801E2,DCE94A633B7ACC6DC0A801E0,02/29/2016,-0.9342,0.385,1.7919,4.2259,24.5605,,-0.8544,-0.5917,-0.5917
5D132CEA3D3D9A3EC0A801E2,DCE94A633B7ACC6DC0A801E0,02/29/2016,-1.0575,0.2936,1.7329,4.2312,24.536,,-0.9758,-0.707,-0.707
5D152CEA3D3D9A5FC0A801E2,DCE94A633B7ACC6DC0A801E0,02/29/2016,-1.0195,0.3209,1.7492,4.2268,24.4995,,-0.9384,-0.6717,-0.6717
5DAD2CEA3D3D9A7FC0A801E2,DCE94A633B7ACC6DC0A801E0,02/29/2016,-0.9005,0.3982,1.7833,4.1793,24.2521,,-0.822,-0.5633,-0.5633
3BD339CB44DB57EEC0A80133,DCE94A633B7ACC6DC0A801E0,02/29/2016,38.9218,72.4872,61.6191,102.6646,,,34.9458,40.1011,40.1011
