FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,05/31/2015,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,05/31/2015,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,05/31/2015,9.7609,10.0373,,,,,9.7522,9.2496,8.9138
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,05/31/2015,9.968,,,,,,9.9765,9.9847,
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,05/31/2015,14.0592,11.9489,7.2045,7.0201,5.1021,,13.5482,13.7652,13.6319
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,05/31/2015,10.0382,10.5528,7.8312,7.0182,5.4785,,9.9614,9.6439,9.7473
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,05/31/2015,5.1848,5.0929,3.6445,4.0722,5.8069,,5.2191,5.2499,5.3192
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,05/31/2015,16.2199,14.0255,8.9956,5.6211,4.3444,,15.4524,16.2651,15.7957
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,05/31/2015,12.3826,10.7974,6.3491,6.4791,10.7886,,12.0241,11.8787,12.1012
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,05/31/2015,26.4949,20.8869,12.4935,11.2934,8.7687,,25.1739,25.0118,23.1801
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,05/31/2015,12.2718,12.8263,10.5179,10.8846,10.0738,,12.3262,12.3748,12.5581
F7405996496BB110C0A80134,F83B18A442630954C0A80133,05/31/2015,41.9172,36.6781,24.1582,21.3664,,,40.719,41.6067,40.6107
672218A442633A99C0A80133,81CC18A442633A05C0A80133,05/31/2015,14.0817,12.7199,11.1329,11.2702,9.9012,,13.3347,13.1152,13.0124
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,05/31/2015,15.6434,15.0175,11.8275,11.3839,,,15.0845,14.8862,14.8152
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,05/31/2015,9.4851,10.4482,9.3571,12.3062,,,9.9041,9.4504,9.9149
463001764B49A629C0A80132,81CC18A442633A05C0A80133,05/31/2015,8.6953,8.8528,9.0131,9.7062,,,8.7661,8.7433,8.7644
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,05/31/2015,47.3867,42.0862,30.8158,21.5294,9.9882,,48.4814,49.0097,53.9301
7D2268CA45CCC3E5C0A80132,B3CD31424263F376C0A80133,05/31/2015,18.1192,15.7072,11.4936,8.7057,,,17.7832,17.8787,17.2622
58BC2CEA3D3D9937C0A801E2,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.2294,1.5228,2.065,3.578,14.4056,,-0.2991,0.0867,0.34
5D062CEA3D3D9977C0A801E2,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.2761,1.5859,2.158,3.7587,15.5102,,-0.3497,0.0588,0.3282
5D082CEA3D3D9998C0A801E2,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.1104,1.5963,2.1122,3.5724,14.2885,,-0.1783,0.196,0.4427
5D0A2CEA3D3D99B6C0A801E2,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.2178,1.5321,2.0751,3.5885,14.3055,,-0.2875,0.0983,0.3512
5D0C2CEA3D3D99D7C0A801E2,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.1979,1.5892,2.1553,3.7183,14.2702,,-0.2697,0.1274,0.3854
5D0E2CEA3D3D99F7C0A801E2,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.2284,1.5223,2.0654,3.579,14.2886,,-0.2981,0.0877,0.3408
5D102CEA3D3D9A17C0A801E2,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.1114,1.5953,2.1113,3.5716,14.3055,,-0.1792,0.1951,0.4418
5D132CEA3D3D9A3EC0A801E2,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.2145,1.5229,2.0617,3.5637,14.2881,,-0.2837,0.0992,0.3504
5D152CEA3D3D9A5FC0A801E2,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.1833,1.5431,2.0751,3.5637,14.2626,,-0.252,0.128,0.3776
5DAD2CEA3D3D9A7FC0A801E2,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.0905,1.5909,2.0977,3.5346,14.0221,,-0.1574,0.2112,0.4542
3BD339CB44DB57EEC0A80133,DCE94A633B7ACC6DC0A801E0,05/31/2015,59.6871,64.1693,64.9944,91.8589,,,66.3893,69.5044,70.2921
57A039CB44DB5928C0A80133,DCE94A633B7ACC6DC0A801E0,05/31/2015,-0.0097,0.1024,0.3984,0.8242,,,0.0838,0.0964,0.0863
B1B951DA4264F505C0A80134,B1A351DA4264F4BAC0A80134,05/31/2015,22.2382,21.5465,13.0342,12.6351,9.7722,,22.4676,21.9931,22.427
04FF56A03B7D68A5C0A801E1,04EF56A03B7D67E2C0A801E1,05/31/2015,6.2849,6.2461,5.461,6.0978,7.4246,,6.179,6.2446,5.9659
76145A313DA447D7C0A80135,04EF56A03B7D67E2C0A801E1,05/31/2015,8.5028,9.6788,8.7182,9.8562,16.2127,,8.3158,8.4804,7.8723
F33809904D46E179C0A80134,04EF56A03B7D67E2C0A801E1,05/31/2015,17.9297,13.8498,9.6427,,,,17.389,18.1273,15.8693
