"fund_id","fb_primarykey","FundKey","ManagerKey","AsOfDate","NAV","NAV_1","NAV_3","NAV_5","NAV_10","NAV_15","NAV_ME","NAV_QE","NAV_YE"
"5094-4","X'09E06653399F7366C0A801E0'","09E06653399F7366C0A801E0","510D50CA399E2D27C0A80119","42551","8.9979","9.1444","8.3431","7.6765","8.8909","8.5211","9.0828","8.754","8.9144"
"3156-1","X'09E95D605305029FC0A86F99'","09E95D605305029FC0A86F99","07525D605305022EC0A86F99","42551","10.1166","9.8587","","","","","10.2019","10.2636","10.2724"
"1043-2","X'09EC51053BF31CA8C0A80118'","09EC51053BF31CA8C0A80118","2EA01C5B3BAB709EC0A801E0","42551","35.4328","32.0073","26.8886","20.0952","14.153","","35.374","34.5575","34.8084"
"7657-4","X'09F23F2A3B245BD2C0A801E0'","09F23F2A3B245BD2C0A801E0","9847505B3A74CE13C0A801E0","42551","24.0785","25.2986","23.8339","17.4806","18.1716","10.3701","24.2553","23.3142","22.6643"
"1925-11","X'09F26D5B49283BCDC0A80135'","09F26D5B49283BCDC0A80135","63E207F7482646B1C0A80132","42551","27.394","28.4267","22.8677","16.4464","","","28.4176","27.5085","28.2351"
"1048-2","X'09F573B253FEDF3EC0A86F98'","09F573B253FEDF3EC0A86F98","72280208428CEFBAC0A80133","42551","9.8176","9.9165","","","","","9.8256","9.8421","9.8666"
"4313-1","X'09F76C6154E3986DC0A86F98'","09F76C6154E3986DC0A86F98","F9B16C6154E397EDC0A86F98","42551","7.9914","9.4927","","","","","8.0811","8.2793","9.2551"
"6112-1","X'09FE51EB400D6195C0A80134'","09FE51EB400D6195C0A80134","F8B651EB400D60ABC0A80134","42551","9.55","9.1023","8.2947","7.5271","9.2299","","9.6701","9.4473","9.4701"
"7027-3","X'09FE71293B608A72C0A801E1'","09FE71293B608A72C0A801E1","073E60313B5DD6B2C0A80118","42551","17.8406","14.2018","19.8119","40.7172","28.1158","","16.1692","14.5871","11.0101"
"2829-29","X'09FF19C0573CF3E4C0A86FA6'","09FF19C0573CF3E4C0A86FA6","6E21436652BDE1B2C0A86F98","42551","8.4717","","","","","","8.811","",""
"3762-1","X'0A0240FF53DFE3E8C0A86F98'","0A0240FF53DFE3E8C0A86F98","09E840FF53DFE3AAC0A86F98","42551","10.6373","10.4444","","","","","10.6725","10.4389","10.3449"
"8580-1","X'0A0252A757256B37C0A86FA6'","0A0252A757256B37C0A86FA6","09F552A7572565E5C0A86FA6","42551","9.9833","","","","","","9.9915","",""
"635-10","X'0A0319053AA9430AC0A801E0'","0A0319053AA9430AC0A801E0","778F281D3A37E1B4C0A801E0","42551","21.5696","21.3613","16.0257","17.8843","7.9375","11.4888","21.1723","21.6051","18.989"
"651-3","X'0A052F5A3A620D5AC0A80118'","0A052F5A3A620D5AC0A80118","4A0968E93A41166EC0A80118","42551","10.8071","10.4526","10.0374","10.8935","11.6471","9.8288","10.5648","10.0668","9.7252"
"5009-2","X'0A0832BB3A0D7DC1C0A80119'","0A0832BB3A0D7DC1C0A80119","FBC44BD63A0348B6C0A80118","42551","5.322","4.9943","4.0989","4.026","3.9395","5.1808","5.2989","5.1453","4.9233"
"1600-31","X'0A0D715852C232C6C0A86F98'","0A0D715852C232C6C0A86F98","3A7B553744EB99ACC0A80133","42551","9.3508","9.7252","","","","","9.5654","9.5385","9.3132"
"7041-1","X'0A0E498E42729866C0A80133'","0A0E498E42729866C0A80133","09EC498E4272981DC0A80133","42551","14.5817","15.4579","11.5642","10.8877","10.7772","","14.4533","15.2563","15.0742"
"3547-1","X'0A106BE3538E9F2DC0A86F98'","0A106BE3538E9F2DC0A86F98","07766BE3538E9E97C0A86F98","42551","9.7947","9.8934","","","","","9.8028","9.8192","9.8437"
"5912-2","X'0A13369B3DB70C6DC0A80135'","0A13369B3DB70C6DC0A80135","8A8B035639C27189C0A801E1","42551","102.8603","94.1037","39.8593","47.9906","24.397","","112.1651","106.9685","115.1119"
"7039-2","X'0A145F3B3CBB3F4EC0A80119'","0A145F3B3CBB3F4EC0A80119","09B46BC33CB803EAC0A801E0","42551","16.3325","11.355","14.0017","27.6164","26.735","","14.3682","12.5415","9.6899"
"2873-1","X'0A1772DC52CE028EC0A86F98'","0A1772DC52CE028EC0A86F98","08B072DC52CE0250C0A86F98","42551","8.6647","9.2588","","","","","8.9251","8.9328","9.4026"
"2562-1","X'0A1C1C305086DA8FC0A80134'","0A1C1C305086DA8FC0A80134","9BF054785086B5C4C0A80132","42551","14.1366","15.1489","11.5815","","","","14.2832","14.3514","14.5188"
"6033-13","X'0A1F0C55510F19CFC0A80146'","0A1F0C55510F19CFC0A80146","EE756DBA50B3F47CC0A80134","42551","8.2772","8.3606","8.5295","8.7021","","","8.284","8.2979","8.3186"
"2964-1","X'0A2207F852E06D7CC0A86F9C'","0A2207F852E06D7CC0A86F9C","3CC5115952DF2AA5C0A86F9C","42551","10.8576","10.3219","","","","","10.7962","10.7002","10.6471"
"557-1","X'0A224F4A3A1D3BCBC0A80119'","0A224F4A3A1D3BCBC0A80119","7D5256973A1D3AB6C0A801E0","42551","21.3292","18.768","15.0723","12.2396","12.3955","9.8037","21.5011","19.6687","18.9491"
"875-8","X'0A25594F3E562E49C0A80135'","0A25594F3E562E49C0A80135","034765633B260B56C0A801E0","42551","23.3212","21.1875","18.7752","15.2888","13.4958","","22.8768","22.6718","22.0074"
"7246-1","X'0A292980397BAB51C0A801E0'","0A292980397BAB51C0A801E0","C6C92579397BA4CCC0A801E0","42551","17.3217","23.1612","13.3044","9.8576","7.8842","8.3624","17.7991","18.095","20.8993"
"1460-1","X'0A2B543D3EA89026C0A80132'","0A2B543D3EA89026C0A80132","0A13543D3EA88F0BC0A80132","42551","44.1957","50.6998","34.1146","25.7344","17.6994","","45.4481","47.196","46.4124"
"8078-2","X'0A2C2D533A43A1E1C0A80118'","0A2C2D533A43A1E1C0A80118","AFE369033A43A0A0C0A80118","42551","12.8122","14.2391","13.0188","12.3898","11.6037","12.2645","13.1375","12.8838","13.3832"
"7043-1","X'0A2E59753BAFD322C0A80118'","0A2E59753BAFD322C0A80118","0A1C59753BAFD282C0A80118","42551","25.9536","29.4127","18.6206","13.6255","13.0807","","27.1395","26.4403","29.8118"
"5705-11","X'0A2F13C843CB1437C0A80133'","0A2F13C843CB1437C0A80133","BF1C12853998BCCDC0A801E0","42551","26.1832","26.6103","19.4763","14.0672","10.7471","","25.3976","24.7819","23.3875"
"229-1","X'0A316AB240B382ABC0A80134'","0A316AB240B382ABC0A80134","12FC5E674083F3C6FFFFFFFF","42551","6.9902","10.1656","8.1796","8.6067","10.7486","","7.1406","7.1393","7.2024"
"1438-9","X'0A3552CD53E96AD4C0A86F98'","0A3552CD53E96AD4C0A86F98","2BA9534C3E5BFBAAC0A80134","42551","8.9028","10.2281","","","","","8.8846","9.4629","9.065"
"7389-1","X'0A36227E3DADB202C0A80134'","0A36227E3DADB202C0A80134","E37239DA3DAC1266C0A80135","42551","42.948","48.0246","33.5805","33.9911","24.6605","","43.3355","45.014","44.3353"
"6743-1","X'0A365082560D7B57C0A86FA6'","0A365082560D7B57C0A86FA6","0A2C5082560D79D0C0A86FA6","42551","9.124","","","","","","9.3785","9.3224","10.1021"
"2200-1","X'0A380DA74CC7BA75C0A80133'","0A380DA74CC7BA75C0A80133","0A1C0DA74CC7B92BC0A80133","42551","17.6372","20.7255","14.8776","10.733","","","18.0845","18.8962","18.9848"
"5793-6","X'0A3911B74A9744D7C0A80135'","0A3911B74A9744D7C0A80135","0E7A146848586872C0A80134","42551","15.6211","17.7541","12.0894","10.0369","","","16.0021","16.0727","15.9395"
"2665-1","X'0A3A4079516851D4C0A80135'","0A3A4079516851D4C0A80135","09D84079516850CBC0A80135","42551","13.2514","15.1508","9.9133","","","","13.408","13.4348","13.1503"
"2665-2","X'0A3C4079516851FDC0A80135'","0A3C4079516851FDC0A80135","09D84079516850CBC0A80135","42551","10.821","13.3789","9.5772","","","","10.9058","10.9023","10.8212"
"7046-1","X'0A46733D41D789F5C0A80133'","0A46733D41D789F5C0A80133","0A31733D41D787FAC0A80133","42551","25.3936","23.9498","19.2431","15.578","12.1075","","25.2411","24.251","24.8526"
"1247-4","X'0A4701783D34DE88C0A80118'","0A4701783D34DE88C0A80118","E41D0EA63CF4594BC0A801E2","42551","22.9883","21.3538","20.6109","27.5606","22.0955","","22.2021","21.3621","20.1263"
"5606-1","X'0A4C28FC47389506C0A80133'","0A4C28FC47389506C0A80133","0A3028FC473894C0C0A80133","42551","29.96","36.8556","17.6217","14.358","","","31.5386","34.0511","33.2002"
"2541-1","X'0A520F51505F9423C0A80132'","0A520F51505F9423C0A80132","0A3E0F51505F93B0C0A80132","42551","13.5729","12.547","10.3343","","","","13.6272","13.5906","13.4298"
"682-20","X'0A5C5FDA3C9F50B4C0A80119'","0A5C5FDA3C9F50B4C0A80119","C6B85B0A3A620AC8C0A80118","42551","26.8854","28.1198","22.6559","23.0502","20.889","","27.7676","28.6551","26.1987"
"5644-1","X'0A5F426539F10C4FC0A80119'","0A5F426539F10C4FC0A80119","263D5E9D39F1096AC0A80119","42551","11.2227","13.6209","13.6592","12.2287","11.3133","9.5044","11.3247","11.5235","11.6567"
"1256-1","X'0A6367663D0791E7C0A801E2'","0A6367663D0791E7C0A801E2","F36367663D079139C0A801E2","42551","9.6056","11.0003","10.4059","11.0028","11.8161","","9.4174","9.3744","8.5885"
"1094-6","X'0A6602D654DCA125C0A86F98'","0A6602D654DCA125C0A86F98","C5D31D0D3BC9FAD6C0A801E0","42551","8.847","9.241","","","","","9.0737","10.0925","11.5067"
"7683-5","X'0A681EA13E77671CC0A80134'","0A681EA13E77671CC0A80134","AD4335813BFB2931C0A801E0","42551","29.5761","26.4094","18.746","15.0047","15.1908","","28.6517","28.8029","28.1598"
"393-1","X'0A6B5B7339E226E4C0A80119'","0A6B5B7339E226E4C0A80119","D2682CDF39E214BFC0A80118","42551","8.0282","8.7483","7.3542","6.2973","6.7722","7.9942","8.1188","8.1353","8.2469"
"1284-3","X'0A6C00C53D4F1685C0A801E0'","0A6C00C53D4F1685C0A801E0","259E46D13D419AB1C0A801E2","42551","28.487","32.6646","18.8998","18.5693","11.1689","","29.5628","29.7186","31.0642"
"1869-17","X'0A701BCE494AA914C0A80135'","0A701BCE494AA914C0A80135","59A02D90479D2FFFC0A80132","42551","18.629","18.4374","15.6141","15.1788","","","18.9505","18.0189","18.6065"
"5294-1","X'0A7040154625C763C0A80133'","0A7040154625C763C0A80133","045E40154625C6D9C0A80133","42551","11.0855","11.2089","2.6685","2.0266","","","11.094","11.1125","11.1429"
"3231-1","X'0A7229CA5319DE3FC0A86F99'","0A7229CA5319DE3FC0A86F99","DC8A29CA5319DCFCC0A86F99","42551","9.7709","9.8694","","","","","9.7789","9.7953","9.8197"
"7040-1","X'0A7B04E540642035FFFFFFFF'","0A7B04E540642035FFFFFFFF","09DE04E540641F70FFFFFFFF","42551","31.811","38.5224","23.7629","19.3535","14.2698","","32.7737","33.5773","33.0868"
"8097-1","X'0A7D19293A44BD65C0A80118'","0A7D19293A44BD65C0A80118","D48C0E293A44BCB3C0A801E1","42551","10.7291","10.8161","11.0011","11.3085","10.999","10.038","10.8153","10.8238","10.8823"
"5102-4","X'0A8552783A1C3989C0A80118'","0A8552783A1C3989C0A80118","D14A21AF39F845C1C0A80119","42551","6.471","6.0685","5.7244","4.7629","4.9421","5.8669","6.4624","6.3572","6.2924"
"2677-1","X'0A862E9D517FD699C0A80132'","0A862E9D517FD699C0A80132","0A6F2E9D517FD60EC0A80132","42551","10.496","11.1425","9.3203","","","","10.5803","10.8703","10.3567"
"5365-1","X'0A876CC745803EBCC0A80135'","0A876CC745803EBCC0A80135","E31A6CC745803B68C0A80135","42551","33.2153","34.9333","15.5843","10.8157","","","35.1771","34.6886","37.186"
"498-1","X'0A8862573A058A42C0A80119'","0A8862573A058A42C0A80119","994A55043A05870AC0A801E1","42551","14.9084","17.7883","16.7301","22.3653","27.4844","10.889","15.4224","15.0086","15.0117"
"7658-8","X'0A8B6EC43CEDE782C0A801E0'","0A8B6EC43CEDE782C0A801E0","4142516B3BF7BA2BC0A801E1","42551","16.0804","15.1367","12.0826","12.2936","12.1853","","15.7","14.6133","15.8606"
"2597-1","X'0A8D0A4F50F5AC0DC0A80135'","0A8D0A4F50F5AC0DC0A80135","974067CE50F48E9DC0A80134","42551","15.7818","17.0411","12.4925","","","","16.5003","17.0389","17.6029"
"7153-2","X'0A9120F03D9A6687C0A80135'","0A9120F03D9A6687C0A80135","82781B393B609E9AC0A80118","42551","29.7781","27.875","21.4724","16.9684","14.682","","29.2141","29.3832","28.9437"
"253-9","X'0A9371F8439D98F0C0A80132'","0A9371F8439D98F0C0A80132","3AB137D639BF0C47C0A801E0","42551","12.1404","13.3288","10.2905","9.3862","10.5364","","12.2439","12.6194","12.7819"
"5472-1","X'0A94670C3D3F1E01C0A801E2'","0A94670C3D3F1E01C0A801E2","06B2670C3D3F1D58C0A801E2","42551","34.1012","34.9183","25.7915","19.4951","16.9584","","34.3892","34.427","33.0801"
"5806-8","X'0A96693448209B9AC0A80134'","0A96693448209B9AC0A80134","E3C45AD647A09E1CC0A80132","42551","9.3368","9.4109","9.5581","9.733","","","9.344","9.3442","9.3537"
"412-3","X'0A97167739F595FBC0A801E0'","0A97167739F595FBC0A801E0","4AEC024539EE1D05C0A801E0","42551","12.9284","12.7341","10.3633","10.3869","10.3767","9.9039","12.9757","12.853","12.6516"
"190-17","X'0A9D047242A490BBC0A80132'","0A9D047242A490BBC0A80132","B8472CD0399C076DC0A80118","42551","14.1469","15.6546","12.3309","10.1227","11.441","","14.5287","14.002","15.3125"
"5873-3","X'0AA402D347EC53DAC0A80134'","0AA402D347EC53DAC0A80134","686C02FA47EAC4D2C0A80133","42551","8.937","8.8312","9.5867","9.8717","","","8.7012","8.6877","8.4348"
"7552-1","X'0AA638D84841B5C5C0A80134'","0AA638D84841B5C5C0A80134","071C38D84841B530C0A80134","42551","14.4942","15.1694","10.9251","10.6952","","","14.3955","14.5379","13.7697"
"1235-11","X'0AAF39C749179B3DC0A80134'","0AAF39C749179B3DC0A80134","98671E253CD2F094C0A801E0","42551","12.7592","12.8239","11.6687","11.4394","","","12.7038","12.2679","12.3137"
"43-7","X'0AB01A894B3A59E5C0A80133'","0AB01A894B3A59E5C0A80133","F55B0329404EDA70C0A80132","42551","8.2464","8.9565","12.8993","10.8221","","","7.879","7.0782","7.3591"
"1987-7","X'0AB6687F4A0976BFC0A80134'","0AB6687F4A0976BFC0A80134","0028418D48D2521FC0A80132","42551","15.6623","16.0243","13.2146","12.499","","","15.4851","15.725","15.1842"
"3409-1","X'0ABB010F53563A4DC0A86F99'","0ABB010F53563A4DC0A86F99","09AE010F535639D1C0A86F99","42551","9.7832","9.8818","","","","","9.7912","9.8076","9.8321"
"5712-2","X'0ABB6A473A41F982C0A801E1'","0ABB6A473A41F982C0A801E1","31FA51913A41F73BC0A80118","42551","19.2793","18.6357","13.9214","9.5117","11.2662","11.3178","19.5435","19.6176","18.9111"
"1861-1","X'0ABB728D4784FE5DC0A80134'","0ABB728D4784FE5DC0A80134","0AA3728D4784FE29C0A80134","42551","10.4289","14.462","12.0896","11.2731","","","11.023","11.7187","12.3194"
"2028-4","X'0AC3341F49485BBCC0A80132'","0AC3341F49485BBCC0A80132","28C1341F49484E6AC0A80132","42551","12.5679","13.8685","13.375","14.7475","","","12.1625","11.3164","11.0013"
"1045-1","X'0AC7228D42B6B851C0A80133'","0AC7228D42B6B851C0A80133","14BA447B428B7DE9C0A80133","42551","17.7983","19.3632","14.6406","10.1761","10.9247","","17.8756","18.002","17.8411"
"7047-1","X'0ACF542C42E8EAAFC0A80132'","0ACF542C42E8EAAFC0A80132","0AB9542C42E8EA5FC0A80132","42551","28.8812","33.7068","20.9768","17.3996","9.8533","","29.5191","31.0074","30.6199"
"4595-2","X'0AD35D0E54C28495C0A86F98'","0AD35D0E54C28495C0A86F98","595E68F754C12A89C0A86F98","42551","9.8767","10.0018","","","","","9.8842","9.9199","9.9351"
"322-5","X'0AD76B494D9F22F1C0A80134'","0AD76B494D9F22F1C0A80134","1DEC0F8A40A243DCC0A80134","42551","8.8741","9.6349","10.7669","9.4317","","","8.6629","8.7593","8.2056"
"6080-1","X'0AD9368A48D45E52C0A80134'","0AD9368A48D45E52C0A80134","FDCD368A48D45DCCC0A80134","42551","13.8516","15.7193","8.2893","6.9371","","","14.0586","14.6429","13.6809"
"7116-2","X'0ADC4EA44162E6B2C0A80132'","0ADC4EA44162E6B2C0A80132","13C7731341392CECC0A80134","42551","16.2485","25.8934","14.0912","9.9133","9.5509","","18.0248","17.103","20.6159"
"2587-16","X'0ADF3D3152C4C26DC0A86F98'","0ADF3D3152C4C26DC0A86F98","7DCF2C1150E35D7EC0A80134","42551","9.676","11.4115","","","","","10.2048","9.8665","10.147"
"4873-6","X'0ADF4B153C42FB6EC0A801E1'","0ADF4B153C42FB6EC0A801E1","53C8378F39792238C0A801E1","42551","33.4249","40.7733","25.6418","23.544","14.8656","","34.123","35.3491","34.5106"
