FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,12/31/2015,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,12/31/2015,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,12/31/2015,11.3981,8.9138,,,,,11.5418,10.0913,8.9138
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,12/31/2015,9.5444,,,,,,10.7425,10.006,
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,12/31/2015,13.6563,13.6319,8.23,7.4219,5.9495,9.0904,14.0018,12.1203,13.6319
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,12/31/2015,9.3647,9.7473,8.6187,7.8579,6.0382,8.5076,9.5111,9.1407,9.7473
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,12/31/2015,4.9723,5.3192,3.7782,4.4688,6.4571,10.0843,5.036,4.8333,5.3192
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,12/31/2015,14.6824,15.7957,10.3307,5.9908,5.3429,9.4034,14.7932,13.5914,15.7957
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,12/31/2015,11.8705,12.1012,7.2784,6.7603,12.8125,10.0154,12.3345,11.3272,12.1012
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,12/31/2015,23.7772,23.1801,14.1851,11.5737,10.392,,24.0807,22.8056,23.1801
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,12/31/2015,11.2897,12.5581,10.5232,12.0724,10.3144,,11.5629,11.0922,12.5581
F7405996496BB110C0A80134,F83B18A442630954C0A80133,12/31/2015,37.986,40.6107,22.0779,21.9,,,40.4359,37.695,40.6107
672218A442633A99C0A80133,81CC18A442633A05C0A80133,12/31/2015,12.7881,13.0124,12.3288,13.5439,10.9222,,12.7681,12.1458,13.0124
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,12/31/2015,14.6869,14.8152,12.8335,12.3932,10.6088,,14.6808,13.8501,14.8152
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,12/31/2015,7.2979,9.9149,10.7054,14.319,,,7.8678,7.1555,9.9149
463001764B49A629C0A80132,81CC18A442633A05C0A80133,12/31/2015,8.5967,8.7644,8.9717,9.7271,,,8.6155,8.6187,8.7644
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,12/31/2015,45.7009,53.9301,27.1518,27.3601,10.2167,,51.6735,34.6958,53.9301
7D2268CA45CCC3E5C0A80132,B3CD31424263F376C0A80133,12/31/2015,16.6118,17.2622,12.2626,10.161,,,17.3469,16.3716,17.2622
58BC2CEA3D3D9937C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.7257,0.34,1.2376,3.922,16.1288,,-0.7849,-0.4054,0.34
5D062CEA3D3D9977C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.802,0.3282,1.2813,4.1223,17.3721,,-0.8646,-0.4626,0.3282
5D082CEA3D3D9998C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.5908,0.4427,1.3109,3.9073,15.9953,,-0.6484,-0.2804,0.4427
5D0A2CEA3D3D99B6C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.714,0.3512,1.2479,3.9326,16.016,,-0.7732,-0.3936,0.3512
5D0C2CEA3D3D99D7C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.7083,0.3854,1.3045,4.0731,15.9787,,-0.7693,-0.3787,0.3854
5D0E2CEA3D3D99F7C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.7247,0.3408,1.238,3.9229,15.9954,,-0.7839,-0.4044,0.3408
5D102CEA3D3D9A17C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.5917,0.4418,1.31,3.9065,16.016,,-0.6494,-0.2813,0.4418
5D132CEA3D3D9A3EC0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.707,0.3504,1.2404,3.9052,15.9949,,-0.7658,-0.3891,0.3504
5D152CEA3D3D9A5FC0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.6717,0.3776,1.2602,3.903,15.9723,,-0.7301,-0.3563,0.3776
5DAD2CEA3D3D9A7FC0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.5633,0.4542,1.3086,3.8646,15.782,,-0.6201,-0.2578,0.4542
3BD339CB44DB57EEC0A80133,DCE94A633B7ACC6DC0A801E0,12/31/2015,40.1011,70.2921,55.0834,94.4183,,,42.1426,47.7507,70.2921
57A039CB44DB5928C0A80133,DCE94A633B7ACC6DC0A801E0,12/31/2015,-0.0388,0.0863,0.2176,0.5123,,,0.0073,-0.0301,0.0863
B1B951DA4264F505C0A80134,B1A351DA4264F4BAC0A80134,12/31/2015,20.7173,22.427,14.2606,13.8379,11.5381,,21.2073,19.7529,22.427
04FF56A03B7D68A5C0A801E1,04EF56A03B7D67E2C0A801E1,12/31/2015,5.5582,5.9659,6.1934,6.4349,7.9605,,5.6686,5.5953,5.9659
76145A313DA447D7C0A80135,04EF56A03B7D67E2C0A801E1,12/31/2015,7.3914,7.8723,9.8032,9.8921,16.7,,7.4423,7.163,7.8723
F33809904D46E179C0A80134,04EF56A03B7D67E2C0A801E1,12/31/2015,15.8302,15.8693,10.4766,,,,15.7395,15.2389,15.8693
0AF130FE4F417D22C0A80134,04EF56A03B7D67E2C0A801E1,12/31/2015,12.9429,13.1665,10.4762,,,,12.8612,12.2299,13.1665
D3E12CA950C73321C0A80134,04EF56A03B7D67E2C0A801E1,12/31/2015,13.1121,13.878,10.014,,,,13.0585,12.8312,13.878
4D7D01113D6853F8C0A801E0,04EF56A03B7D67E2C0A801E1,12/31/2015,19.0886,19.3355,15.0366,11.5223,13.8673,,18.8614,18.4208,19.3355
54635B693D8F878FC0A80132,04EF56A03B7D67E2C0A801E1,12/31/2015,20.5304,22.3616,20.6989,20.3271,22.7674,,20.6892,20.5341,22.3616
5E615B693D8F8CD8C0A80132,04EF56A03B7D67E2C0A801E1,12/31/2015,18.473,23.5515,17.4638,19.3008,17.6789,,18.7491,17.9365,23.5515
8BAF5C524926EB6BC0A80134,8BED06B942681CCEC0A80133,12/31/2015,17.7698,18.9626,16.4065,15.7959,,,18.6905,17.1188,18.9626
309501014CD5FAE3C0A80133,8BED06B942681CCEC0A80133,12/31/2015,18.0159,17.3279,12.273,10.1503,,,18.9096,16.47,17.3279
AE9D597B502AACC7C0A80134,8BED06B942681CCEC0A80133,12/31/2015,12.6771,12.4743,10.3693,,,,12.9938,11.5974,12.4743
A95E1B9E42695784C0A80133,A9481B9E4269573FC0A80133,12/31/2015,17.9538,17.7214,13.6782,15.2425,11.7163,,18.1681,17.096,17.7214
90813788428A9A21C0A80133,A9481B9E4269573FC0A80133,12/31/2015,17.3737,16.229,11.598,10.8901,9.7575,,17.8362,16.7783,16.229
C30831A0561E62E0C0A86FA6,0A8A336F3B7FA82CC0A80119,12/31/2015,9.5684,,,,,,9.6656,,
5EBB55EE3978C9E2C0A801E0,5D2555EE3978C897C0A801E0,12/31/2015,10.0172,11.8721,9.2252,8.9544,8.1372,6.7273,10.4526,9.9037,11.8721
98B2066C397F3904C0A80119,5D2555EE3978C897C0A801E0,12/31/2015,12.0632,14.1474,11.439,10.929,10.8176,10.0864,12.5723,12.0439,14.1474
120054BD397F5B41C0A80118,5D2555EE3978C897C0A801E0,12/31/2015,10.9038,12.7757,9.8616,9.7152,12.9754,10.518,11.4222,10.6274,12.7757
142C5B8D3B813DFBC0A801E0,071B5B8D3B813957C0A801E0,12/31/2015,25.5068,24.6603,20.5547,18.6981,15.7845,,26.6962,24.8128,24.6603
B0C54D2E4BD370D6C0A80133,30662A91426C269EC0A80134,12/31/2015,18.333,17.3387,11.3366,9.0917,,,17.8578,16.2691,17.3387
30A56967426D5681C0A80132,308F6967426D562CC0A80132,12/31/2015,21.1079,20.5781,16.5385,13.8472,11.8383,,21.7663,20.1472,20.5781
C7CC4028426DA7FAC0A80133,B93F4028426DA729C0A80133,12/31/2015,12.2645,13.8379,11.9269,13.4341,11.5761,,12.5231,11.8037,13.8379
B9091E1A426ECF49C0A80132,92891E1A426ECDECC0A80132,12/31/2015,35.8668,26.0979,17.8558,16.2607,13.5066,,37.6162,33.4937,26.0979
D316068743EF5888C0A80134,92891E1A426ECDECC0A80132,12/31/2015,9.9543,11.1102,11.3096,14.4652,,,10.0932,9.8954,11.1102
FBC870DD443BD091C0A80133,92891E1A426ECDECC0A80132,12/31/2015,9.2884,8.944,7.9159,8.2424,,,10.0834,8.7565,8.944
347202B344452676C0A80132,92891E1A426ECDECC0A80132,12/31/2015,4.9782,5.5706,5.2346,5.2044,,,5.0281,5.1157,5.5706
6A4B1CCB44479DE1C0A80133,92891E1A426ECDECC0A80132,12/31/2015,8.044,8.622,8.6172,8.9664,,,8.156,8.1253,8.622
