FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,03/31/2015,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,03/31/2015,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,03/31/2015,9.2496,9.9041,,,,,9.66,8.9138,8.9138
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,03/31/2015,9.9847,,,,,,9.9932,,
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,03/31/2015,13.7652,12.2947,7.9729,7.6347,4.7861,,13.9517,13.6319,13.6319
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,03/31/2015,9.6439,10.4641,8.38,7.3508,5.3469,,9.889,9.7473,9.7473
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,03/31/2015,5.2499,5.1444,3.7774,4.2891,6.2639,,5.3169,5.3192,5.3192
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,03/31/2015,16.2651,14.394,8.632,5.9896,4.1385,,16.2536,15.7957,15.7957
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,03/31/2015,11.8787,11.2354,7.2819,7.0591,10.243,,11.8872,12.1012,12.1012
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,03/31/2015,25.0118,20.5929,12.5397,12.165,8.2291,,24.8201,23.1801,23.1801
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,03/31/2015,12.3748,13.1441,11.1816,11.7698,,,12.6263,12.5581,12.5581
F7405996496BB110C0A80134,F83B18A442630954C0A80133,03/31/2015,41.6067,37.994,25.4526,21.2175,,,42.2728,40.6107,40.6107
672218A442633A99C0A80133,81CC18A442633A05C0A80133,03/31/2015,13.1152,12.7296,12.2369,12.022,,,13.5216,13.0124,13.0124
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,03/31/2015,14.8862,15.0344,12.6618,12.2911,,,15.2902,14.8152,14.8152
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,03/31/2015,9.4504,10.1248,11.5669,14.2467,,,9.909,9.9149,9.9149
463001764B49A629C0A80132,81CC18A442633A05C0A80133,03/31/2015,8.7433,8.856,9.1179,10.04,,,8.7821,8.7644,8.7644
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,03/31/2015,49.0097,39.2031,37.1475,19.5166,,,48.5142,53.9301,53.9301
7D2268CA45CCC3E5C0A80132,B3CD31424263F376C0A80133,03/31/2015,17.8787,14.8263,12.1192,8.914,,,18.1879,17.2622,17.2622
58BC2CEA3D3D9937C0A801E2,DCE94A633B7ACC6DC0A801E0,03/31/2015,0.0867,0.7795,1.9818,3.3827,16.8953,,0.2828,0.34,0.34
5D062CEA3D3D9977C0A801E2,DCE94A633B7ACC6DC0A801E0,03/31/2015,0.0588,0.7991,2.071,3.5521,18.2126,,0.2664,0.3282,0.3282
5D082CEA3D3D9998C0A801E2,DCE94A633B7ACC6DC0A801E0,03/31/2015,0.196,0.8744,2.0324,3.3826,16.7624,,0.3862,0.4427,0.4427
5D0A2CEA3D3D99B6C0A801E2,DCE94A633B7ACC6DC0A801E0,03/31/2015,0.0983,0.7888,1.9915,3.3931,16.7811,,0.2943,0.3512,0.3512
5D0C2CEA3D3D99D7C0A801E2,DCE94A633B7ACC6DC0A801E0,03/31/2015,0.1274,0.8238,2.0668,3.5166,16.7388,,0.3292,0.3854,0.3854
5D0E2CEA3D3D99F7C0A801E2,DCE94A633B7ACC6DC0A801E0,03/31/2015,0.0877,0.7791,1.9819,3.3836,16.7625,,0.2838,0.3408,0.3408
5D102CEA3D3D9A17C0A801E2,DCE94A633B7ACC6DC0A801E0,03/31/2015,0.1951,0.8734,2.0314,3.3818,16.781,,0.3852,0.4418,0.4418
5D132CEA3D3D9A3EC0A801E2,DCE94A633B7ACC6DC0A801E0,03/31/2015,0.0992,0.7851,1.9787,3.3696,16.762,,0.2938,0.3504,0.3504
