fund_id,fb_primarykey,FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
8099-1,X'78250D2F48602B8EC0A80132',78250D2F48602B8EC0A80132,70B50D2F48602B24C0A80132,9/30/2016,9.3544,9.6677,8.2913,4.7905,,,9.5232,8.0696,10.0053
4306-3,X'782E2E7141893D9FC0A80134',782E2E7141893D9FC0A80134,50C45DE341829C6EC0A80132,9/30/2016,17.4362,7.0349,14.7798,11.0254,8.4555,,13.3044,10.4071,8.2701
1431-5,X'78320B183E544068C0A80133',78320B183E544068C0A80133,974557EE3E53E44FC0A80134,9/30/2016,14.846,13.3851,13.2422,10.2497,15.3229,,14.6466,14.617,12.5874
4650-1,X'7833503E556F34B4C0A86FA6',7833503E556F34B4C0A86FA6,7826503E556F33E2C0A86FA6,9/30/2016,9.868,9.9674,,,,,9.8761,9.8929,9.9424
6861-3,X'7835752B41F50795C0A80134',7835752B41F50795C0A80134,001E3F9241F2B70BC0A80134,9/30/2016,25.4131,26.0065,22.3938,14.3672,10.8549,,26.4033,25.5886,26.3856
268-23,X'783C6608566C749EC0A86FA6',783C6608566C749EC0A86FA6,9664130539C5012CC0A801E1,9/30/2016,8.7886,,,,,,9.0723,9.3193,10.2117
4828-1,X'783D34E33A09DB5EC0A80119',783D34E33A09DB5EC0A80119,685771793A09DAC4C0A801E0,9/30/2016,164.9429,159.7687,103.8295,85.5113,21.0323,9.043,155.382,139.8463,152.0278
5218-3,X'7842060439771FD6C0A801E1',7842060439771FD6C0A801E1,15EF0286397684FEC0A801E1,9/30/2016,7.5078,5.8335,6.0079,4.3844,4.9962,3.511,7.2352,6.4015,6.2644
4084-1,X'784341383C4A63D8C0A801E1',784341383C4A63D8C0A801E1,783741383C4A6319C0A801E1,9/30/2016,56.9226,50.1008,36.942,26.3425,15.7827,,55.0089,50.9622,52.8385
137-4,X'784848013EFCAE58C0A80133',784848013EFCAE58C0A80133,569548013EFC9886C0A80133,9/30/2016,22.2011,19.8938,16.2445,10.6979,12.6808,,21.7514,20.2751,20.5099
6835-1,X'784B2669562C5476C0A86FA6',784B2669562C5476C0A86FA6,68B11EFC562C5314C0A86FA6,9/30/2016,9.907,,,,,,9.9152,9.932,9.9817
410-12,X'784D620241C44FF6C0A80133',784D620241C44FF6C0A80133,6B843E7D39EDDCA9C0A80118,9/30/2016,11.7355,10.3737,16.137,11.3279,13.3098,,11.2581,11.6131,10.0055
6967-1,X'78505EFC4021542BC0A80134',78505EFC4021542BC0A80134,D9EE620D3BF13BB3C0A80118,9/30/2016,18.7201,18.2889,14.5465,11.7607,10.8595,,18.4222,17.4662,18.0084
2224-1,X'785470E14D3C4E04C0A80135',785470E14D3C4E04C0A80135,4EDF318F4D0B7E04C0A80134,9/30/2016,12.3109,12.2309,10.5257,7.8635,,,12.4333,12.2112,12.1489
6114-9,X'785543FF4EA8CFCBC0A80132',785543FF4EA8CFCBC0A80132,85A40E474E2B0736C0A80132,9/30/2016,8.3947,8.4793,8.6506,,,,8.4016,8.4159,8.458
4734-1,X'785662194016C331C0A80134',785662194016C331C0A80134,62C062194016C104C0A80134,9/30/2016,370.0057,362.9752,219.8621,175.4401,42.0312,,347.7462,312.4757,346.1091
7511-2,X'785922E643035EB1C0A80133',785922E643035EB1C0A80133,7414394642F62EBBC0A80134,9/30/2016,6.559,7.6898,7.8332,6.9755,9.3756,,6.55,6.5503,7.3762
1548-1,X'786002AB44696B59C0A80134',786002AB44696B59C0A80134,71E302AB44696B30C0A80134,9/30/2016,7.2127,6.6846,7.7128,7.3439,10.2078,,7.2438,7.0637,6.6781
146-5,X'786238C3428374C3C0A80132',786238C3428374C3C0A80132,8E0E4EEB39873097C0A80118,9/30/2016,12.8867,11.9147,14.1411,11.9629,12.0866,,12.8692,12.8504,11.7184
1231-8,X'786A0F5543BBD24EC0A80134',786A0F5543BBD24EC0A80134,BF4F559F3CCD5DD5C0A801E1,9/30/2016,19.2603,15.0876,14.4343,10.4261,10.3744,,19.3792,18.6382,15.9429
