FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,12/31/2014,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,12/31/2014,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,12/31/2014,8.9138,9.9896,,,,,9.9452,10.3644,9.9896
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,12/31/2014,,,,,,,,,
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,12/31/2014,13.6319,11.6702,6.4206,7.565,5.0231,,13.275,12.482,11.6702
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,12/31/2014,9.7473,10.7847,7.7242,7.0527,5.7035,,10.1324,9.9957,10.7847
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,12/31/2014,5.3192,4.6046,3.6195,4.601,6.1104,,5.2446,5.0368,4.6046
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,12/31/2014,15.7957,13.854,6.4774,5.616,5.329,,15.7173,14.7526,13.854
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,12/31/2014,12.1012,10.8787,5.7516,6.6832,11.3873,,11.8811,11.3952,10.8787
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,12/31/2014,23.1801,20.1331,11.1572,11.2585,9.5578,,23.4524,22.191,20.1331
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,12/31/2014,12.5581,13.2597,10.567,11.0773,,,12.6884,12.5984,13.2597
F7405996496BB110C0A80134,F83B18A442630954C0A80133,12/31/2014,40.6107,35.5147,22.8061,19.176,,,39.5778,37.4301,35.5147
672218A442633A99C0A80133,81CC18A442633A05C0A80133,12/31/2014,13.0124,12.5068,11.5405,11.86,,,13.0209,12.4898,12.5068
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,12/31/2014,14.8152,14.8515,11.7948,12.3061,,,15.1483,15.0427,14.8515
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,12/31/2014,9.9149,10.8066,10.094,13.4891,,,10.6307,10.5745,10.8066
463001764B49A629C0A80132,81CC18A442633A05C0A80133,12/31/2014,8.7644,8.8471,9.1677,,,,8.8054,8.8505,8.8471
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,12/31/2014,53.9301,43.8088,30.436,15.7454,,,57.8583,52.8232,43.8088
7D2268CA45CCC3E5C0A80132,B3CD31424263F376C0A80133,12/31/2014,17.2622,14.8772,10.263,8.4537,,,17.618,16.3925,14.8772
58BC2CEA3D3D9937C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.34,1.2466,1.7373,4.313,23.6022,,0.8842,0.9161,1.2466
5D062CEA3D3D9977C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.3282,1.2919,1.8099,4.5372,24.973,,0.9054,0.9423,1.2919
5D082CEA3D3D9998C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.4427,1.3246,1.7913,4.2849,23.4859,,0.9721,1.0068,1.3246
5D0A2CEA3D3D99B6C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.3512,1.2565,1.7478,4.3234,23.5038,,0.895,0.9258,1.2565
5D0C2CEA3D3D99D7C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.3854,1.3096,1.8212,4.4744,23.4606,,0.9429,0.9677,1.3096
5D0E2CEA3D3D99F7C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.3408,1.2466,1.738,4.3139,23.4859,,0.8847,0.9159,1.2466
5D102CEA3D3D9A17C0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.4418,1.3236,1.7904,4.2841,23.5038,,0.9712,1.0058,1.3236
5D132CEA3D3D9A3EC0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.3504,1.2492,1.7366,4.2931,23.4854,,0.8902,0.9211,1.2492
5D152CEA3D3D9A5FC0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.3776,1.2703,1.7516,4.2875,23.4517,,0.9138,0.9455,1.2703
5DAD2CEA3D3D9A7FC0A801E2,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.4542,1.3228,1.7812,4.2361,23.1063,,0.9757,1.0103,1.3228
3BD339CB44DB57EEC0A80133,DCE94A633B7ACC6DC0A801E0,12/31/2014,70.2921,56.4,72.2182,67.7532,,,65.0428,65.1819,56.4
57A039CB44DB5928C0A80133,DCE94A633B7ACC6DC0A801E0,12/31/2014,0.0863,0.1235,0.2234,0.8761,,,0.0855,0.0923,0.1235
B1B951DA4264F505C0A80134,B1A351DA4264F4BAC0A80134,12/31/2014,22.427,20.8374,11.7265,13.0644,,,22.6015,21.4033,20.8374
04FF56A03B7D68A5C0A801E1,04EF56A03B7D67E2C0A801E1,12/31/2014,5.9659,6.231,5.7268,7.0197,7.8911,,5.9584,5.7256,6.231
76145A313DA447D7C0A80135,04EF56A03B7D67E2C0A801E1,12/31/2014,7.8723,9.8565,9.8074,12.1874,16.5241,,7.9511,8.5134,9.8565
F33809904D46E179C0A80134,04EF56A03B7D67E2C0A801E1,12/31/2014,15.8693,13.783,9.474,,,,15.9151,15.5579,13.783
0AF130FE4F417D22C0A80134,04EF56A03B7D67E2C0A801E1,12/31/2014,13.1665,12.5491,,,,,13.3994,12.8819,12.5491
D3E12CA950C73321C0A80134,04EF56A03B7D67E2C0A801E1,12/31/2014,13.878,13.6991,,,,,13.7439,12.6827,13.6991
4D7D01113D6853F8C0A801E0,04EF56A03B7D67E2C0A801E1,12/31/2014,19.3355,16.4676,12.3118,13.2537,13.3553,,18.4536,15.9301,16.4676
54635B693D8F878FC0A80132,04EF56A03B7D67E2C0A801E1,12/31/2014,22.3616,21.6254,18.77,21.257,14.349,,22.1117,20.5698,21.6254
5E615B693D8F8CD8C0A80132,04EF56A03B7D67E2C0A801E1,12/31/2014,23.5515,23.4667,17.5902,15.3823,16.3028,,24.1025,24.0241,23.4667
8BAF5C524926EB6BC0A80134,8BED06B942681CCEC0A80133,12/31/2014,18.9626,20.4864,13.7956,13.7206,,,19.4301,19.6116,20.4864
309501014CD5FAE3C0A80133,8BED06B942681CCEC0A80133,12/31/2014,17.3279,15.6284,9.6614,,,,17.469,17.0437,15.6284
AE9D597B502AACC7C0A80134,8BED06B942681CCEC0A80133,12/31/2014,12.4743,13.1457,,,,,12.5218,13.0946,13.1457
A95E1B9E42695784C0A80133,A9481B9E4269573FC0A80133,12/31/2014,17.7214,17.1554,11.4429,11.3224,,,17.8519,17.6446,17.1554
90813788428A9A21C0A80133,A9481B9E4269573FC0A80133,12/31/2014,16.229,14.9801,10.5007,9.4746,,,16.4549,15.5791,14.9801
C30831A0561E62E0C0A86FA6,0A8A336F3B7FA82CC0A80119,12/31/2014,,,,,,,,,
5EBB55EE3978C9E2C0A801E0,5D2555EE3978C897C0A801E0,12/31/2014,11.8721,11.4156,8.7934,7.462,7.6345,,11.9415,11.5898,11.4156
98B2066C397F3904C0A80119,5D2555EE3978C897C0A801E0,12/31/2014,14.1474,13.7581,11.0321,9.1481,9.6882,,14.1454,14.2976,13.7581
120054BD397F5B41C0A80118,5D2555EE3978C897C0A801E0,12/31/2014,12.7757,12.1944,9.1725,8.2031,12.123,,12.8787,12.5538,12.1944
142C5B8D3B813DFBC0A801E0,071B5B8D3B813957C0A801E0,12/31/2014,24.6603,23.0654,17.0879,16.6684,14.0042,,24.4772,23.2914,23.0654
B0C54D2E4BD370D6C0A80133,30662A91426C269EC0A80134,12/31/2014,17.3387,15.8069,8.7295,,,,17.8567,18.1608,15.8069
30A56967426D5681C0A80132,308F6967426D562CC0A80132,12/31/2014,20.5781,18.6926,14.4019,12.2096,,,21.1354,20.0038,18.6926
C7CC4028426DA7FAC0A80133,B93F4028426DA729C0A80133,12/31/2014,13.8379,13.4805,11.6146,12.39,,,13.5928,12.5305,13.4805
B9091E1A426ECF49C0A80132,92891E1A426ECDECC0A80132,12/31/2014,26.0979,25.5265,15.2989,11.3398,,,26.7931,27.5491,25.5265
D316068743EF5888C0A80134,92891E1A426ECDECC0A80132,12/31/2014,11.1102,10.656,11.5277,12.6503,,,11.1519,11.1927,10.656
FBC870DD443BD091C0A80133,92891E1A426ECDECC0A80132,12/31/2014,8.944,10.2147,7.1971,7.274,,,9.0296,8.8877,10.2147
347202B344452676C0A80132,92891E1A426ECDECC0A80132,12/31/2014,5.5706,5.9377,4.9518,4.7131,,,5.5488,5.6693,5.9377
6A4B1CCB44479DE1C0A80133,92891E1A426ECDECC0A80132,12/31/2014,8.622,8.844,8.3421,8.7835,,,8.8116,8.9026,8.844
6AA574F644491D50C0A80133,92891E1A426ECDECC0A80132,12/31/2014,7.924,8.9788,14.7661,12.902,,,7.8601,8.7476,8.9788
FE826FFF445226DDC0A80134,92891E1A426ECDECC0A80132,12/31/2014,9.1684,9.2605,9.4479,9.6387,,,9.1762,9.1915,9.2605
AAA86215426FA93CC0A80133,92891E1A426ECDECC0A80132,12/31/2014,13.2305,14.4391,11.434,10.4154,,,13.1737,14.0108,14.4391
28BB20FB4270B420C0A80133,92891E1A426ECDECC0A80132,12/31/2014,24.9997,25.0246,15.5546,11.5777,,,25.5086,26.9463,25.0246
544A446A427D7126C0A80133,92891E1A426ECDECC0A80132,12/31/2014,32.1148,27.1178,20.5072,15.436,,,33.2153,29.4761,27.1178
F3F063FA4298E71FC0A80134,92891E1A426ECDECC0A80132,12/31/2014,21.2704,19.1196,13.272,12.338,,,20.728,20.1036,19.1196
0D3A248B43358EF0C0A80133,92891E1A426ECDECC0A80132,12/31/2014,18.0787,16.2247,13.7209,10.6329,,,18.5295,17.3358,16.2247
A7FD3A70434491CDC0A80133,92891E1A426ECDECC0A80132,12/31/2014,12.6786,12.6479,11.5735,10.3415,,,12.6902,13.2962,12.6479
C60E3A7043449591C0A80133,92891E1A426ECDECC0A80132,12/31/2014,36.1268,31.14,24.298,14.1414,,,37.7566,34.4834,31.14
DB692944426F0443C0A80132,6D332944426F0097C0A80132,12/31/2014,20.7108,18.9926,15.3191,12.9971,,,20.6936,19.9204,18.9926
7E772944426F3605C0A80132,6D332944426F0097C0A80132,12/31/2014,22.6881,19.1528,15.6254,13.7779,,,22.6545,21.219,19.1528
AC326C7943C969C4C0A80133,6D332944426F0097C0A80132,12/31/2014,15.4495,15.2145,12.9306,13.1831,,,15.0715,14.9011,15.2145
C1451681464B0C66C0A80132,6D332944426F0097C0A80132,12/31/2014,9.691,9.6291,8.2804,7.7222,,,9.9094,9.6566,9.6291
86473027437B383BC0A80133,F2D40661426F6F0DC0A80133,12/31/2014,10.3941,10.1831,7.4062,7.3013,,,10.588,10.2889,10.1831
C7E056EE42710C54C0A80132,C5E856EE42710A56C0A80132,12/31/2014,18.1516,18.3166,11.4114,10.2876,,,17.4824,17.5185,18.3166
B62338DC42712F17C0A80133,B5C838DC42712ED9C0A80133,12/31/2014,33.0702,34.5315,19.7301,14.0388,,,35.5379,34.2683,34.5315
C09418C73EE87D4CC0A80132,C07E18C73EE87CF8C0A80132,12/31/2014,13.4503,12.2761,8.8063,9.0227,12.5648,,13.686,13.1996,12.2761
FECC55FC447478C0C0A80132,C07E18C73EE87CF8C0A80132,12/31/2014,22.0516,13.6951,9.6228,8.9398,,,22.3483,19.7717,13.6951
E75802F647A72DA3C0A80135,C07E18C73EE87CF8C0A80132,12/31/2014,10.4031,9.763,10.1075,9.7815,,,10.3926,9.7967,9.763
931D45804271992FC0A80134,93004580427198DAC0A80134,12/31/2014,19.7896,21.1664,19.7902,17.827,,,20.29,21.5034,21.1664
7E9F032A4069A0DAFFFFFFFF,BEBB08793B8F2321C0A801E0,12/31/2014,9.4124,9.4279,11.8117,9.6955,10.0783,,9.4957,9.4349,9.4279
7FBE64A943DA533EC0A80133,BEBB08793B8F2321C0A801E0,12/31/2014,9.4591,9.8797,9.4229,9.6147,,,9.3093,9.5456,9.8797
723017B640895E6BFFFFFFFF,BEBB08793B8F2321C0A801E0,12/31/2014,9.7317,9.8741,8.5792,8.8127,10.1172,,9.6768,9.7877,9.8741
F93E147240911943C0A80133,BEBB08793B8F2321C0A801E0,12/31/2014,17.7297,16.9546,12.6541,12.5964,11.674,,17.8965,17.2982,16.9546
ED243B8440A23648C0A80132,BEBB08793B8F2321C0A801E0,12/31/2014,9.744,9.863,9.5963,7.192,10.8619,,9.6157,9.6848,9.863
BECB08793B8F24C0C0A801E0,BEBB08793B8F2321C0A801E0,12/31/2014,35.0703,32.6044,19.3118,17.2838,14.0401,,35.1544,33.9318,32.6044
DFC02B874252D54BC0A80134,BEBB08793B8F2321C0A801E0,12/31/2014,16.2237,16.4759,10.3758,9.8861,,,16.1931,16.4995,16.4759
E5980C9943691F38C0A80133,BEBB08793B8F2321C0A801E0,12/31/2014,8.6649,9.3657,9.3502,9.5921,,,8.5162,8.8095,9.3657
