FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,06/30/2015,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,06/30/2015,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,06/30/2015,9.5882,10.2831,,,,,9.7609,9.2496,8.9138
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,06/30/2015,9.9598,,,,,,9.968,9.9847,
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,06/30/2015,13.5984,12.3281,7.5743,6.738,5.0531,,14.0592,13.7652,13.6319
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,06/30/2015,9.7592,10.4748,8.3114,6.9686,5.484,,10.0382,9.6439,9.7473
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,06/30/2015,4.8965,5.3449,3.7368,3.9326,6.219,,5.1848,5.2499,5.3192
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,06/30/2015,15.4297,14.0723,9.3189,5.3744,4.455,,16.2199,16.2651,15.7957
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,06/30/2015,12.4078,11.1496,6.6316,5.9438,11.238,,12.3826,11.8787,12.1012
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,06/30/2015,25.5522,21.4028,13.2808,10.7827,8.9391,,26.4949,25.0118,23.1801
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,06/30/2015,12.0772,12.9963,10.7043,10.0535,10.0066,,12.2718,12.3748,12.5581
F7405996496BB110C0A80134,F83B18A442630954C0A80133,06/30/2015,41.013,38.4553,25.3888,18.771,,,41.9172,41.6067,40.6107
672218A442633A99C0A80133,81CC18A442633A05C0A80133,06/30/2015,13.5657,13.2188,11.6699,11.2358,10.0763,,14.0817,13.1152,13.0124
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,06/30/2015,15.2182,15.2565,12.1569,11.0822,,,15.6434,14.8862,14.8152
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,06/30/2015,9.1399,10.8853,9.755,11.8373,,,9.4851,9.4504,9.9149
463001764B49A629C0A80132,81CC18A442633A05C0A80133,06/30/2015,8.6923,8.8552,8.998,9.6118,,,8.6953,8.7433,8.7644
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,06/30/2015,47.6017,46.4268,30.1444,20.1456,9.98,,47.3867,49.0097,53.9301
7D2268CA45CCC3E5C0A80132,B3CD31424263F376C0A80133,06/30/2015,17.8534,16.2096,11.8799,8.4021,,,18.1192,17.8787,17.2622
58BC2CEA3D3D9937C0A801E2,DCE94A633B7ACC6DC0A801E0,06/30/2015,-0.2544,0.9456,2.1266,3.2758,15.5719,,-0.2294,0.0867,0.34
5D062CEA3D3D9977C0A801E2,DCE94A633B7ACC6DC0A801E0,06/30/2015,-0.3025,0.9748,2.2221,3.4385,16.8333,,-0.2761,0.0588,0.3282
5D082CEA3D3D9998C0A801E2,DCE94A633B7ACC6DC0A801E0,06/30/2015,-0.1344,1.0362,2.1708,3.2791,15.4436,,-0.1104,0.196,0.4427
5D0A2CEA3D3D99B6C0A801E2,DCE94A633B7ACC6DC0A801E0,06/30/2015,-0.2427,0.955,2.1371,3.2863,15.4607,,-0.2178,0.0983,0.3512
5D0C2CEA3D3D99D7C0A801E2,DCE94A633B7ACC6DC0A801E0,06/30/2015,-0.2235,0.9951,2.2214,3.4073,15.4237,,-0.1979,0.1274,0.3854
5D0E2CEA3D3D99F7C0A801E2,DCE94A633B7ACC6DC0A801E0,06/30/2015,-0.2534,0.9452,2.1272,3.2768,15.4436,,-0.2284,0.0877,0.3408
5D102CEA3D3D9A17C0A801E2,DCE94A633B7ACC6DC0A801E0,06/30/2015,-0.1354,1.0352,2.1699,3.2783,15.4606,,-0.1114,0.1951,0.4418
5D132CEA3D3D9A3EC0A801E2,DCE94A633B7ACC6DC0A801E0,06/30/2015,-0.2393,0.9501,2.1231,3.2637,15.4432,,-0.2145,0.0992,0.3504
5D152CEA3D3D9A5FC0A801E2,DCE94A633B7ACC6DC0A801E0,06/30/2015,-0.2078,0.9745,2.1357,3.2659,15.4156,,-0.1833,0.128,0.3776
5DAD2CEA3D3D9A7FC0A801E2,DCE94A633B7ACC6DC0A801E0,06/30/2015,-0.1141,1.0394,2.1552,3.2458,15.1439,,-0.0905,0.2112,0.4542
