"UPPER(SUBSTRING(fb_primarykey,3,24))","fund_id"
"2EFE5C7B399E43A5C0A801E1","103-1"
"A71C58954282D833C0A80133","103-2"
"A71E58954282D83EC0A80133","103-3"
"8006121D48BDFE0BC0A80134","103-4"
"849138D83B93DB49C0A801E0","1030-1"
"054E17553BAA80D6C0A801E0","1030-2"
"485918843BC74CBBC0A801E1","1031-2"
"FC2D22E33B97E0FAC0A801E1","1032-1"
"A66B5B5F4280221CC0A80132","1033-1"
"A1C50D12428A9B9AC0A80132","1033-2"
"E61E017A428B8D94C0A80134","1033-3"
"8EB6365142935BD0C0A80134","1033-4"
"838667FF42A04B69C0A80133","1033-5"
"1008545F490530E7C0A80132","1033-7"
"4EB52C573B9E0E59C0A80119","1034-4"
"A34416844282DAE7C0A80133","1035-1"
"E9FC251E4283B53BC0A80132","1036-1"
"27ED69B743E2693AC0A80132","1036-10"
"EFD939CA4283DDF9C0A80133","1036-2"
"CBE31FEF4284C58CC0A80134","1036-3"
"8FF12BE94284FD48C0A80132","1036-6"
"FED83EF6429C97A4C0A80133","1036-8"
"45533492437FA821C0A80132","1036-9"
"DF6E1F5E3BA2BB4CC0A80119","1037-1"
"147E367A3BA60FB6C0A801E1","1037-2"
"29F214A03BA7A065C0A801E0","1037-3"
"FCB770BB428FA99BC0A80132","1038-1"
"073870BB428FAF55C0A80132","1038-2"
"3EE73AB93BA761D3C0A801E1","1039-1"
"FB9C48513979C975C0A801E0","104-1"
"B68334A53A450B07C0A801E0","104-2"
"16484A4E4B437624C0A80146","1040-14"
"B1B355CE4D2D98ADC0A80146","1040-29"
"FD6C31B64E27AC3FC0A80146","1040-33"
"EE9561A84E27CBBBC0A80146","1040-34"
"F60612004EB1FF5AC0A80146","1040-37"
"CDD8153D4EB2023DC0A80146","1040-38"
"CAD16E01514C7D8CC0A80146","1040-39"
"BC1B4936517637F5C0A80146","1040-41"
"4D514EEF5179EBB0C0A80146","1040-43"
"56355F7A51816E6AC0A80146","1040-51"
"9F94435251826882C0A80146","1040-52"
"B7C86EDC51845648C0A80146","1040-53"
"5FDB13385187FD82C0A80146","1040-54"
"18FC4AD05188272EC0A80146","1040-56"
"706958AC3C349296C0A80119","1041-1"
"BDB05A993C7657CAC0A801E0","1041-2"
"B1D00416451ED639C0A80134","1041-3"
"A69270164C601905C0A80132","1042-9"
"B7CA71023BAB7108C0A80119","1043-1"
"09EC51053BF31CA8C0A80118","1043-2"
"E7CE4B613CD308DBC0A801E1","1043-3"
"7C5C1F6E3CFA813FC0A801E1","1043-4"
"60654B7942D1CBF0C0A80132","1044-10"
"45EA1708480D386AC0A80132","1044-12"
"8DA90CAE3BAB7ABAC0A80119","1044-3"
"B38D1CB63C090FD6C0A801E1","1044-4"
"B3901CB63C09102FC0A801E1","1044-5"
"96CC470241B654C8C0A80134","1044-7"
"77DD5F4F3DC9D397C0A80134","1044-8"
"0AC7228D42B6B851C0A80133","1045-1"
"5D6E1CE6428BA2CBC0A80133","1046-1"
"98BD1CE6428BA9DCC0A80133","1046-3"
"5A470624428C9BE8C0A80133","1047-1"
"AF18490F429DF497C0A80133","1048-1"
"09F573B253FEDF3EC0A86F98","1048-2"
"702E196F428D01CCC0A80134","1049-1"
"1A665C42437A1625C0A80134","1049-14"
"C904142A437B6547C0A80134","1049-15"
"F2714950439CDB8CC0A80132","1049-20"
"70980B6543CD735AC0A80134","1049-22"
"1F86027043D7F3CEC0A80134","1049-23"
"43841ED643DA404FC0A80133","1049-24"
"1B97107F43DE6A85C0A80132","1049-25"
"2B79107F43DE6B0EC0A80132","1049-26"
"0D1B6BEF4417762CC0A80133","1049-27"
"6B090A7644243AD6C0A80134","1049-28"
"A723319944721294C0A80134","1049-29"
"E9126C0D4302592CC0A80132","1049-3"
"6E9E25904475A8E0C0A80134","1049-30"
"FCA46C0D43025B0EC0A80132","1049-4"
"4E3C4EA83EEBC037C0A80134","105-1"
"CB5703513EF93FF9C0A80132","105-2"
"CFA140F7428FBAD9C0A80132","1050-1"
"D1D166834319E2D2C0A80133","1051-1"
"EA2503504034DE3DC0A80133","1053-1"
"EC77113349613B93C0A80135","1053-14"
"3D412B094E78785BC0A80132","1053-16"
"93F418494E7E8A5EC0A80135","1053-18"
"7A25051D3CAC83D3C0A80119","1053-4"
"48A46AB63E1F51C1C0A80133","1053-5"
"E0F960493BAF49C2C0A801E0","1054-1"
"0D2350AD3BB3467FC0A801E1","1054-2"
"2B4A5B9347D018E4C0A80134","1055-15"
"9C55366049A70BCBC0A80133","1055-19"
"EAEF593F4BE32BD9C0A80133","1055-20"
"9532424E4E495DC8C0A80135","1055-22"
"1F7B6F874300F80AC0A80133","1055-9"
"C827312C3BAFD26CC0A80119","1056-1"
"D9815A0242948505C0A80132","1057-1"
"AD1A345B3BB1085DC0A801E0","1058-1"
"81313EA542952786C0A80133","1059-1"
"94DD030043C700D9C0A80133","1059-4"
"4C291DF448EACE67C0A80135","1059-5"
"533C4591546BD910C0A86F98","1059-6"
"EB8E5D813F291FDCC0A80134","106-2"
"697302D74E07C95DC0A80132","1060-10"
"DC674D0C4FBDB152C0A80132","1060-11"
"4BD540B654384423C0A86F98","1060-12"
"63442175566CB80DC0A86FA6","1060-13"
"300E29284D978722C0A80135","1060-6"
"A2021C9B3C483051C0A80119","1061-5"
"F68306E73E763BC7C0A80133","1061-6"
"8942313B4297F052C0A80132","1062-1"
"F6383E5843504B3BC0A80134","1062-2"
"A76135CD4299E9FDC0A80134","1063-1"
"B89F01D343835A8FC0A80133","1063-3"
"13866FEC3BB7D3C3C0A80118","1064-1"
"449E0117537A5427C0A86F99","1064-3"
"8FB82C2142C4CFDFC0A80133","1065-12"
"34AE25FF431D4A68C0A80132","1065-13"
"5B1D0F2E431FBB4AC0A80133","1065-14"
"8AFA5D804337897FC0A80134","1065-15"
"4BE06F4B43D07A93C0A80132","1065-19"
