FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,01/31/2015,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,01/31/2015,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,01/31/2015,9.0933,9.9075,,,,,8.9138,8.9138,8.9138
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,01/31/2015,,,,,,,,,
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,01/31/2015,13.1519,11.7784,7.1553,7.1401,4.9506,,13.6319,13.6319,13.6319
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,01/31/2015,9.3549,10.1736,7.7464,6.754,5.4657,,9.7473,9.7473,9.7473
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,01/31/2015,5.3751,4.6917,3.7509,4.3285,5.8146,,5.3192,5.3192,5.3192
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,01/31/2015,16.0353,14.3189,7.6772,5.6301,4.865,,15.7957,15.7957,15.7957
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,01/31/2015,11.0318,10.6548,6.2032,6.4289,10.9095,,12.1012,12.1012,12.1012
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,01/31/2015,24.1823,21.4006,12.0485,11.3739,8.9318,,23.1801,23.1801,23.1801
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,01/31/2015,12.3081,12.8945,10.9184,10.9956,,,12.5581,12.5581,12.5581
F7405996496BB110C0A80134,F83B18A442630954C0A80133,01/31/2015,40.7846,34.5503,23.8494,18.493,,,40.6107,40.6107,40.6107
672218A442633A99C0A80133,81CC18A442633A05C0A80133,01/31/2015,13.1382,12.0014,12.5113,10.9638,,,13.0124,13.0124,13.0124
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,01/31/2015,14.6291,14.6003,12.3388,11.7059,,,14.8152,14.8152,14.8152
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,01/31/2015,9.6158,9.4982,11.6837,12.3216,,,9.9149,9.9149,9.9149
463001764B49A629C0A80132,81CC18A442633A05C0A80133,01/31/2015,8.7449,8.8138,9.1975,9.7913,,,8.7644,8.7644,8.7644
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,01/31/2015,51.0073,39.3483,33.251,15.275,,,53.9301,53.9301,53.9301
