X'42be53a147bdc798c0a80133'
X'5ecf01263da77004c0a80134'
X'5ed33aab477d5d74c0a80133'
X'65212928422c5ecbc0a80132'
X'69ac21184148973bc0a8013c'
X'6f34323b478d6c5ac0a80135'
X'7336235243bdf2edc0a80132'
X'79495cb849ebc998c0a80135'
X'9386727a3fbfc4f1c0a80133'
X'ad90284b4762ecbac0a80132'
X'c61f3cf747c4db68c0a80132'
X'cccb166346aa4ef9c0a80134'
