X'06a044ed3d51c529c0a801e0'
X'0b7b524949ac29fac0a80132'
X'10284b3257447159c0a86fa6'
X'105a30d749fd4720c0a80133'
X'16475dae52dd6e63c0a86f9c'
X'29f34dbd59ee0444c0a86fa6'
X'2a6a032d422480c7c0a80134'
X'2a864df05441508cc0a86f98'
X'40b71f5f58ad8805c0a86fa6'
X'51cc6d1e43cc30dcc0a80132'
X'6cf12e4148f81e82c0a80133'
X'6d5b033e41fc9a99c0a80133'
X'6fa11d345a19fac7c0a86fa6'
X'710f0d4b3c6c5038c0a801e0'
X'71e11b4b54a0dc81c0a86f98'
X'7f4d61843cd0a926c0a801e0'
X'84a03eb6574b0359c0a86fa6'
X'85ec60b85a3d49f3c0a86fa6'
X'8f0532e358ad28f5c0a86fa6'
X'96691c2d5a3d955fc0a86fa6'
X'a0304d455a3d2cf7c0a86fa6'
X'a5b7198848ecf687c0a80132'
X'a60b4a863a76007dc0a801e1'
X'a86568374913c775c0a80134'
X'b09f59244a7adc33c0a80133'
X'b57b6a9f56bacc2bc0a86fa6'
X'b5ed6a234ed9736bc0a80134'
X'be4352673d6d5332c0a801e2'
X'bfc422a9464b0e52c0a80134'
X'c10b4c8841e4a8f1c0a80132'
X'cf5702d949396fd6c0a80135'
X'd3751e7149763003c0a80132'
X'e70653b241fad354c0a80133'
X'fa70054a40d738f0c0a80133'
X'fe314dc3596cd4cac0a86fa6'
