X'66dd03693bc717fec0a80118'
X'bbea029f463b81f2c0a80135'
X'5e3c307d41f7bc61c0a80133'
X'226012c83fdafb0fc0a80134'
X'1f3930354af06d9fc0a80134'
X'4b634b503ec19bfec0a80134'
X'3748724f3ecf05f0c0a80134'
