X'05871fb74d14331ac0a80132'
X'0eef23143c11a9a9c0a801e1'
X'1005152e3f2c1b4bc0a80134'
X'13004b14417d49cdc0a80134'
X'15bb5a68428bcd22c0a80134'
X'200010b848480c13c0a80133'
X'228c6abe3c9f6c12c0a80118'
X'22cc5fda3c9f5653c0a80119'
X'31fe58883ca11b03c0a80118'
X'321056b63a40f5e3c0a801e0'
X'341a6ec447015fa9c0a80132'
X'41145cd558498f70c0a86fa6'
X'44f751514165388fc0a80132'
X'537a4ead40bd2dfec0a80133'
X'6d78424039e4d7ccc0a80118'
X'76ee5c2e3c797f68c0a801e0'
X'7cd54ee0455e9204c0a80135'
X'840f6bd241e95a2ec0a80132'
X'95b774dc3a4581d8c0a80118'
X'a23810b848481141c0a80133'
X'a6c8196b3cad0eb4c0a801e1'
X'a8d211fb42b45ef9c0a80133'
X'b2b9084045816ad5c0a80134'
X'b75246063c66bb3dc0a80119'
X'c43e2c3d3cd874f0c0a801e0'
X'c6aa4126457b23fcc0a80133'
X'c9556f833d4153dbc0a801e0'
X'c9ef252745272a42c0a80132'
X'd1cd6b5a432598f0c0a80133'
X'e55616cf4e815e6cc0a80132'
X'e5f72296404de2cdc0a80134'
X'faec198f4e8a3038c0a80134'
