X'03c134d93dd4a7b1c0a80134'
X'03f534d4589bbad7c0a86fa6'
X'048946ed3e7b072fc0a80132'
X'056161cd453799a5c0a80132'
X'0d2348423f6696e1c0a80132'
X'12ad2a7e3eb7e8ebc0a80132'
X'177c6ca23e317116c0a80132'
X'1793302f39f48896c0a801e0'
X'1f6f1aa23a11f5e3c0a80119'
X'1fca4ef339f8925cc0a80118'
X'21e003693c25fc39c0a80118'
X'245b486f4bac6829c0a80133'
X'265412a33ecba153c0a80133'
X'26a12e4e3a331f78c0a801e0'
X'2836022b39f61daac0a80118'
X'2a1514ef3f71dc53c0a80132'
X'2aea25fe3c816d31c0a801e0'
X'2bf06c1c3f732d70c0a80133'
X'2d9a2bfd3a282da5c0a80119'
X'400154e350d95734c0a80135'
X'49640ec639c6d6bdc0a801e1'
X'4a5b2f405a4d85b2c0a86fa6'
X'4bf751343f09c271c0a80132'
X'553549cb3a53f353c0a801e1'
X'5598030246b10b53c0a80134'
X'55b246903bbc6166c0a80118'
X'578a0e643a39844bc0a80119'
X'5c2868133a2bdecdc0a801e1'
X'71ca14cc3a0f2d95c0a80119'
X'7a2b5cc73b7155bcc0a801e1'
X'7c470da94babf343c0a80132'
X'7e965fdf3c766880c0a80118'
X'7f3c21af3a9f305cc0a80119'
X'812955973efb468ec0a80133'
X'815801013b5e0af8c0a80119'
X'819d24913e430735c0a80132'
X'823852673edcf10ac0a80132'
X'876570e73bec3affc0a80118'
X'8cb449c13f00836fc0a80134'
X'90996a183c501930c0a801e0'
X'931e03773c16e541c0a80119'
X'9efb1d453d29f7dcc0a80119'
X'a1bb25ae3b9bbd60c0a801e1'
X'a33e25cc3b7ab7dcc0a80119'
X'a495269e3f200079c0a80134'
X'a4c56e3e39e13eddc0a80119'
X'a748731f3e1f669ac0a80132'
X'a7854a133a2dbf3cc0a801e0'
X'ac543f473c56c5e9c0a80119'
X'ad15135f39cb827ec0a80151'
X'b03a4ffc3f764610c0a80132'
X'b88e5d63397a672fc0a801e0'
X'bb3c73133e2dc5aec0a80135'
X'c0e846d13a140fd9c0a80118'
X'c30836cc3a75cfa5c0a80119'
X'c515045f3af10f02c0a801e1'
X'c6ca480b3fe5bd75c0a80133'
X'd46e2f515a4d7d89c0a86fa6'
X'd89a544d3f442fdbc0a80133'
X'dd6808fe3c302fc0c0a801e1'
X'e81d07b03e518565c0a80133'
X'e9160cec3b8bc26cc0a801e1'
X'edc51bae3e68bf15c0a80135'
