X'0b1037dc46a11408c0a80133'
X'2a3d4f973a966c0ec0a80119'
X'2c52008b3a53434fc0a801e0'
X'3bb8562d484044c5c0a80133'
X'780651393ba76935c0a80119'
X'7aca02ac46a0b45fc0a80133'
X'7c4a0f494744d882c0a80133'
X'7f0c5b903a0334fcc0a80118'
X'899b5ad8424fece1c0a80132'
X'8fd85b903a0339d0c0a80118'
X'9e423bd547c45b0dc0a80134'
X'a0e401334675fd26c0a80132'
X'd5511e1f3b5d78cac0a80118'
X'e7500bf33ad5cc21c0a80119'
X'eb58008b3a53423bc0a801e0'
X'f1ee13c641e2a16cc0a80133'
X'f1f813c641e2a1ccc0a80133'
X'f6dc454f3d32411fc0a80119'
X'f91454cd4647beecc0a80133'
