X'1278471539e4dc41c0a80119'
X'1305471539e4de7fc0a80119'
X'5f330df539ff42d9c0a801e1'
X'a7845dc53a0b5699c0a80119'
X'ad2c03ce3a0158fec0a80119'
X'cff16f7a3a009735c0a80119'
X'e30019b739fedb24c0a801e0'
X'f219471539e4c9ecc0a80119'
