X'098638af3fd9ee60c0a80134'
X'16c65cb73a1d5f4dc0a80118'
X'2bbf21a43d6789f4c0a80119'
X'37fa33283a9f1cfbc0a801e0'
X'56e04cd945d7bf20c0a80134'
X'5b106ca93b964012c0a80118'
X'73a256a13f032a8ec0a80134'
X'7b9f4e5b3d0dfe3ec0a801e2'
X'7c29223041d3f82ec0a80134'
X'7f9e5e733ff4eca1c0a80133'
X'85b269653ff320d9c0a80133'
X'a06140553a952bd8c0a801e0'
X'a5db62ae4205e0c5c0a80132'
X'cce5061443d2161fc0a80134'
X'd0a7231f3a9065d2c0a80118'
X'd8051c4b41fa9eefc0a80133'
X'fcea23283ac273fac0a801e0'
X'ff3d238f42ce383cc0a80133'
