X'9EAB1C873E81182BC0A80132'
X'E7790423406C9186FFFFFFFF'
X'C3A705CA3D1C7555C0A801E0'
X'EA2653E93EFC16D6C0A80134'
X'8EFE1F233FA02555C0A80133'
X'4B1A5BC93F46B108C0A80132'
X'B84A43053A3FD3E3C0A801E0'
X'EB3B03523F6A5176C0A80132'
X'FFF83EF53D7778A4C0A80119'
X'E8A1672941B094EBC0A80133'
X'A21A346141B9BC28C0A80132'
X'5EAE3D4D4251F6A9C0A80132'
X'E5F11441425C5617C0A80133'
X'0E003B284293FC73C0A80133'
X'5F90524542962C0AC0A80133'
X'1E8A621341EC6E10C0A80133'
X'EEF303123FE0BE10C0A80132'
X'C6E465313982D28DC0A80119'
X'3826177D4395BAD9C0A80132'
X'507E649345FAE65DC0A80133'
X'5CE8416E46379605C0A80132'
X'99A819B14756E90AC0A80134'
X'EFE02F3B4457DD0FC0A80134'
X'3C76123748330FE2C0A80132'
X'468D3C973CD30384C0A801E0'
X'158D6BD04D851A8BC0A80134'
X'3FBD593F4CFE42DEC0A80133'
X'ACE9387E3D345AE3C0A801E0'
X'B67F3EE150DCA8A4C0A80135'
X'0423217851627503C0A80134'
X'C9426D61515E4863C0A80134'
X'2BA974F6493D726DC0A80135'
X'A2BA5F0A457D3906C0A80132'
X'5ED11A1845834383C0A80135'
X'5BBF61E045904EB5C0A80132'
X'D8EE62724ADBF71BC0A80135'
X'5166675D5827740AC0A86FA6'
