X'05003f064124b6b1c0a80134'
X'05043f064124b6d5c0a80134'
X'0f7d0ad73dbaa71bc0a80133'
X'158d60363b5dd1a8c0a80118'
X'2c921baf45885bcfc0a80132'
X'37ce212441dc714dc0a80133'
X'431f19f23b8d2e3ac0a80118'
X'442e43fb3c871fd1c0a801e1'
X'505d167a3b1b23a8c0a801e0'
X'57bc1cb539c974efc0a801e1'
X'639f43753e35964dc0a80133'
X'704865743a6f9916c0a80119'
X'79dd482d42033eefc0a80133'
X'866e45593da581b3c0a80132'
X'97e34bf445f919a2c0a80133'
X'9fdf0cc03d09bf7ec0a80119'
X'be9a35223977f55ac0a801e1'
X'cd4c5f1941dc9334c0a80134'
X'd8b7037d3bf63dd3c0a80119'
X'de9308713a137ee0c0a80119'
X'e41411214145ad2bc0a80132'
X'e69c3e9039edc92cc0a80118'
X'e8f73ab339c82ce6c0a801e1'
X'e9d660813dada9afc0a80135'
X'f31e04ab3df5eadac0a80133'
