X'0d8722273afefd6ac0a80118'
X'13561e993a1578d2c0a80118'
X'227419183bc20c07c0a801e1'
X'39c646e039edbe48c0a80119'
X'519637f83ceb9f5dc0a80119'
X'5cd4106e39ddd129c0a80119'
X'625d1c773b5dd808c0a801e1'
X'697d538c3b7db93dc0a80118'
X'72da0eb93c451f3fc0a80119'
X'966833793a005ea6c0a801e1'
X'b02f11cd39ca74eac0a80151'
X'cd2770fd3a22e65cc0a801e1'
X'd8c54d4e39da34dfc0a80119'
X'f3d325b63b702a59c0a801e1'
