X'0b0f34013f022521c0a80134'
X'0d4d6e7842568496c0a80133'
X'13ed45403aac065ac0a80118'
X'1909423148867874c0a80135'
X'221f24653f82e254c0a80133'
X'25db25803ba89f45c0a80118'
X'2b58061c43f13435c0a80133'
X'2dd347123fbc3be4c0a80134'
X'35f660b53d745bdac0a80118'
X'3788459e3a22860cc0a801e1'
X'3a6f459e3a228658c0a801e1'
X'3bb9489541d6efb9c0a80132'
X'41492e813f0b64cec0a80134'
X'4a5e292541a96e9bc0a80132'
X'4ac512fb43a47f83c0a80134'
X'4dc6540944a498d6c0a80133'
X'4ffd1f053a2ea195c0a80118'
X'52f068df3f979765c0a80133'
X'594832fb46b291c8c0a80135'
X'62ed514e3cd83191c0a801e1'
X'652e3de9418aa23fc0a8013c'
X'67da5bcf45ac80abc0a80134'
X'69cd30733a4a5860c0a801e1'
X'6e61326b3a2676aac0a80118'
X'813252543e4ed80fc0a80132'
X'8163301643f6646fc0a80134'
X'85a950fc42558511c0a80132'
X'86bf6b8b425062cac0a80133'
X'8b141ce74111ca01c0a80134'
X'8c8145553d854013c0a801e2'
X'8e174d8d3c9edf21c0a80119'
X'96aa3dfe39b00bc3c0a801e1'
X'98030b3d3d04e6b1c0a80119'
X'987821103a4c1930c0a80118'
X'a044518c416ace1bc0a80134'
X'a0811ec0444f1a05c0a80133'
X'a6af4fa53dd6936fc0a80133'
X'a88f061c43f125cec0a80133'
X'ac4d24893c92e7e6c0a801e0'
X'b02518163f48c832c0a80133'
X'b3c668a43c9977e4c0a801e1'
X'b43d02b33eb67b27c0a80132'
X'b65a717343f7855ac0a80132'
X'b7b76da3461fb7cfc0a80134'
X'beba4adc3a1bf960c0a80118'
X'bfb64bd8425c00e8c0a80134'
X'bff9202741d34c9cc0a80133'
X'c2041bb34255b2b1c0a80133'
X'c81b15243a1ca398c0a801e1'
X'cbe8641f416a2aa5c0a80133'
X'cbe9677f426436adc0a80133'
X'd126312a416330bec0a80132'
X'd3d21e613aafc908c0a801e0'
X'd77a3fb64514af20c0a80133'
X'e101625f39d23a5cc0a80119'
X'e126659d3c86863cc0a801e1'
X'e25f13c147a9193cc0a80133'
X'e54372db3d8e818cc0a80132'
X'eb8812c53dc49dfec0a80133'
X'ec466e0545452e5dc0a80132'
X'ef2014ab423e1009c0a80132'
X'f2b073d7417e6e99c0a80134'
