X'02d62dbf41acc5dbc0a80132'
X'334f527e4244149ac0a80132'
X'4d7d6cd0425e6681c0a80133'
X'67465c8941a4dce2c0a80133'
X'714110223e05580cc0a80135'
X'835341013fe068cbc0a80134'
X'85dc624741b76754c0a80134'
X'a2775de34182a00cc0a80132'
X'b967063a40292b1fc0a80133'
X'd07403d83a31aaf7c0a801e1'
X'd0f2533b41bf58f9c0a80133'
X'd3b93df139c805a2c0a801e0'
X'e95e706140b8dfa0c0a80132'
X'f844674e423b01d5c0a80134'
