X'0eef23143c11a9a9c0a801e1'
X'11704c893f5c7ad0c0a80133'
X'19d323813c94e618c0a801e0'
X'20bc1c1a42412fa6c0a80132'
X'254e0c4becda8f5d89540828'
X'2fca033241e2f0eec0a80134'
X'47220aa245aa7e37c0a80133'
X'53052654450e6374c0a80134'
X'6c7734ec3d09fda6c0a801e1'
X'6daa079c45869d1ac0a80133'
X'8d841ab3398a02c2c0a80119'
X'952f310e45e654c0c0a80133'
X'a9d917263eef68fac0a80133'
X'b334373240ee9f42c0a80133'
X'c52425df3eea2827c0a80133'
X'c9354e393ed7cd82c0a80132'
X'd6260ec33f143d72c0a80133'
X'e86758d341f71217c0a80132'
X'edde1fad42a07735c0a80133'
X'f406076c3aaec578c0a801e1'
X'fceb33073b67406cc0a80118'
