X'1bbe085d422ce0fbc0a80134'
X'21b35a303ec2575ac0a80134'
X'293c18683b77f7a9c0a801e0'
X'2bc1142f4c54dce7c0a80135'
X'4775033641ab9261c0a80134'
X'496b6ec43ea963e3c0a80133'
X'5598030246b10b53c0a80134'
X'5f1e034241a2c01ac0a80133'
X'70471f0c472f24bac0a80133'
X'8b88735c42b08555c0a80132'
X'8bb746ed42e40a4bc0a80132'
X'b0350c884c164839c0a80133'
X'ba6b30d3426e5b57c0a80132'
X'e1761e2443bd5dafc0a80132'
