X'13004b14417d49cdc0a80134'
X'3a3311ed57a3b30fc0a86fa6'
X'906a1f2354da4473c0a86f98'
X'a39670f04647af64c0a80133'
X'a82a1ac85735083ac0a86fa6'
X'e27e37a63bae8532c0a80119'
