X'1ed3540b423caffcc0a80134'
X'29ff220f41806258c0a80133'
X'45e6601b4b9ff036c0a80134'
X'4c7503344290f493c0a80133'
X'65703de9418aa2e7c0a8013c'
X'8a340cc34f7369bdc0a80135'
X'9de84b9047a33e3fc0a80135'
X'a33504f15089422bc0a80134'
X'a53371dd48dd0045c0a80133'
X'c0f6698a4bb135f0c0a80134'
X'c8af6d6349de4d28c0a80133'
X'cb994d2c4a68b3b8c0a80134'
X'd83846d142dedbcac0a80132'
X'e55f4e81423c877cc0a80133'
X'ef2c51cf5526c2afc0a86fa6'
