X'052e3aeb39dde9c2c0a80119'
X'24e80b7b3a1c136ec0a801e0'
X'2db834653a1da0f5c0a80118'
X'30d312723a1c26bac0a801e0'
X'718a3ae23a138d28c0a80119'
X'7271013d3f44b103c0a80134'
X'75a76931416a382ec0a80134'
X'fd2403703e3273d5c0a80132'
