X'29131960521bf64ec0a80134'
X'41fa60715205d00ec0a80132'
X'4bb6490243ab1231c0a80134'
X'58ca085b42119923c0a80134'
X'5c6d57903bb07be6c0a801e0'
X'62e643883bb380c0c0a801dc'
X'7336235243bdf2edc0a80132'
X'748c35bf5899ba42c0a86fa6'
X'8e6046cd476b171dc0a80133'
X'930c54df57e95329c0a86fa6'
X'a5036d224d146e01c0a80146'
X'b81e4fce3d40136ec0a801e2'
X'b8cd43964a4a3246c0a80135'
X'e25e492a39f7f6ccc0a80118'
X'ed3557ac55c3a472c0a86fa6'
X'f4ab0add480e35b0c0a80134'
