X'73BB3EB93964A995C0A801E0'
X'A0E701FA39725B78C0A80118'
X'8D3F48CB39731DD7C0A801E1'
X'5AB54A7539745311C0A801E0'
X'18264B533974559EC0A801E0'
X'740D4EDB39745957C0A801E0'
X'AE4E26123974EDB6C0A801E1'
X'121749873975131DC0A801E1'
X'46B3542839746025C0A801E0'
X'D8356F54397C627EC0A80118'
X'B7773ABE3975FB85C0A801E0'
X'846E6F6E39770FAEC0A801E1'
X'48E00A0A397757C6C0A801E0'
X'EEE76B463977A140C0A801E1'
X'E2050FD63975CC29C0A801E0'
X'CF22368B39789537C0A801E1'
X'A1883AE73979BF84C0A801E0'
X'F0BC1AC3397768D0C0A801E0'
X'34BB0B80397A0F8EC0A801E0'
X'F0C9115A39772CC7C0A801E1'
X'175A129A397C8F90C0A80118'
X'F1D962103D8F435CC0A80133'
X'916563FA3ED35F31C0A80134'
X'804B0546397A7C6EC0A801E0'
X'B9A86388397737CDC0A801E0'
X'597D6832397E0E2BC0A80119'
X'591D3298397EE741C0A80119'
X'E8FF1728397FD55AC0A80119'
X'BA9E1868397B9CE5C0A801E0'
X'456D6E90397F866AC0A80118'
X'D5412886398171ABC0A80118'
X'A4801457397F4714C0A80119'
X'EC9E4A0839834681C0A80118'
X'D1140E3839851E6FC0A80119'
X'FEBA02F23985B466C0A801E0'
X'60A11983398871D5C0A80118'
X'B6D131B7398328D0C0A80119'
X'F7B127AB3989F442C0A80118'
X'8D841AB3398A02C2C0A80119'
X'A3485CC7398E1D4AC0A80118'
X'87B75321398DFCF9C0A80119'
X'3B4F75243987785BC0A80118'
X'84761EB5398F76C3C0A80119'
X'091A3B8C3990D479C0A80118'
X'FD3A57D539916E9BC0A801E0'
X'07CA68DC39875EEBC0A80118'
X'A3C3384839897070C0A80118'
X'90E942BE39919AFFC0A80118'
X'463602864054BCACC0A80134'
X'CB3F66994053BE90C0A80133'
X'7EA0369F398E5297C0A80118'
X'8F5611A23ED4CA1AC0A80134'
X'AE44456E3996BD4CC0A801E0'
X'21220F93398F5F97C0A80119'
X'DEB457943ED41D66C0A80133'
X'385928BE3EB457C9C0A80134'
X'ACDB410739975178C0A801E0'
X'A81157E0399C2948C0A80118'
X'795C743D39977DC7C0A801E0'
X'F5741A4E399D3F59C0A80119'
X'9C001EB339A08F64C0A801E0'
X'65506FBE39A13D69C0A801E0'
X'4B5255D139A229CCC0A801E1'
X'FA351B7239A15A34C0A801E0'
X'D24530A9399380E9C0A801E1'
X'C3DF3F21399D3132C0A80118'
X'8E2F3E6E39A2CA2BC0A801E0'
X'4FBA021F39989260C0A801E0'
X'FB4746F839A4CCD0C0A801E0'
X'4AFB55F539A1F37EC0A801E1'
X'E30B141239A41C07C0A801E1'
X'63ED646E39A65E78C0A801E0'
X'31D82C1B39A72548C0A801E0'
X'0B913B45398A1F41C0A80119'
X'986E461F39A91B32C0A801E0'
X'C7CE4C2539A2D1E1C0A801E0'
X'11F8490039ABC489C0A801E0'
X'97773CCC399F15B2C0A801E1'
X'EF65024839AD55B8C0A80151'
X'04E4460B397BD126C0A801E0'
X'96ED07413977CE5AC0A801E1'
X'31541AF23D829DBEC0A80118'
X'62B60E13398CB7E4C0A80118'
X'A915158E39B82209C0A80151'
X'82FE30F9399AB38FC0A80119'
X'F272107639A4189CC0A801E1'
X'CD5504FA39C3C5EFC0A80151'
X'61C23CD639C50A5AC0A801E0'
X'6FA23CD639C529A7C0A801E0'
X'C477259339C5A00BC0A801E1'
X'959B045539988214C0A801E1'
X'1EDF42FE39C6E523C0A801E1'
X'088E0B4C39C76E3EC0A80151'
X'E5CB459439C5E026C0A801E0'
X'B0B03CC239C8CE46C0A801E0'
X'7EF65C1739B5240AC0A801E0'
X'FCA43F163990D643C0A801E0'
X'0482048B398EB2CBC0A80119'
X'C9BF6EA939B581F2C0A801E0'
X'8B431CB539C98193C0A801E1'
X'5B6B57DF39CA61F4C0A801E0'
X'1969665F39CA81BFC0A801E0'
X'49640EC639C6D6BDC0A801E1'
X'9E581A7539CF5AC9C0A80151'
X'757D12A039CEE83DC0A80119'
X'DC0603F139CFD6F1C0A80119'
X'0A5659DE39964E6EC0A801E0'
X'7C6D695239D17F02C0A80118'
X'98B83D9839C0CF36C0A801E0'
X'FFC922D939D3A765C0A80119'
X'8ABE0F8B39D4AA56C0A80118'
X'CD24063C39D5F076C0A80118'
X'ACC53F8C39D9FF43C0A80118'
X'930D492F3E88CBC7C0A80132'
X'8D9A247E39DA85F7C0A80119'
X'F490104B39DBFEA5C0A80118'
X'1B114C4B39DC6FEAC0A80119'
X'6FD83B5839DD095BC0A80119'
X'E5071AA639DA8BCDC0A80118'
X'D90C681E39DD41B4C0A80118'
X'A5005B1839DDB278C0A80118'
X'5B1B54CD39DE6F90C0A80118'
X'26C16C8D39DF337FC0A80119'
X'573F1D8439E1E29CC0A80119'
X'34C338E239D8E07AC0A80119'
X'BAE107A539E33821C0A80119'
X'15D46F3739E51EF6C0A80119'
X'860D2A7439E5F5C8C0A80119'
X'9FBB2A7039E5F02CC0A80119'
X'62D4717639E35A68C0A80118'
X'9CE32E6B39E60389C0A80119'
X'3BA916B239E6426EC0A80119'
X'AD7172353EE0D76AC0A80133'
X'A41F731A39D1BF91C0A80118'
X'E90C038739EE9165C0A80118'
X'FD1D03F439EF89BBC0A80119'
X'B52F72ED39F1FAAFC0A801E0'
X'C2E45EFB39D9785EC0A80118'
X'459E28DE39F40521C0A80119'
X'77125A0039F223DAC0A80118'
X'9F3003F439EF7FBAC0A80119'
X'5BD7229A39F5E1E9C0A80119'
X'4E3E5A4E39A4A29FC0A801E1'
X'3EEF68B53EC33553C0A80133'
X'24AD6CA539F48BB7C0A80118'
X'32A9722F39F81C86C0A801E1'
X'FEF71FF339F8FD37C0A801E0'
X'28D20B3339F8F772C0A80119'
X'F13B305E39FB28EFC0A801E1'
X'57661E0D39FB2FADC0A80118'
X'26E8431239FB971BC0A801E1'
X'6FBF49C639FAEABAC0A801E0'
X'BC2C463439FD5D41C0A80119'
X'14BA29AD39FC4368C0A801E1'
X'135971AF39FE269BC0A801E1'
X'AD63033E39FF0A21C0A80119'
X'7CFA522639FF0B8CC0A801E0'
X'269F6C9A39A3E2FBC0A801E0'
X'7E92522639FF614BC0A801E0'
