X'086555a73da32d7bc0a80135'
X'0bbe420d3b1eaf51c0a80119'
X'10ab3cdf3b55c7e7c0a801e0'
X'287d25b83d3dbc2fc0a801e2'
X'2efd4826419e11f2c0a80134'
X'3354036b3a6da6bbc0a80119'
X'4df54b9d3a647b69c0a80119'
X'52a060263b70103ec0a801e1'
X'53971b4f3d773e7cc0a801e2'
X'643c6dee3b99716fc0a80119'
X'67e41cf33b6ebedbc0a80118'
X'6a9a640e3ca11094c0a801e1'
X'6d636db23e469afdc0a80133'
X'6f13392c429e95b2c0a80132'
X'781a17c541c83059c0a80133'
X'787516db41fdce3ec0a80133'
X'7d906a8341dd63d8c0a80132'
X'89351cf33b6ec012c0a80118'
X'8e020fb242257e3ac0a80132'
X'9a704fd53ac0e1d6c0a80119'
X'a1cc3e3f3e52f34ec0a80135'
X'b21956444239e84dc0a80133'
X'c26e11533f4a01c3c0a80134'
X'c86410584240d8cac0a80134'
X'c8ee5b453cc7683dc0a80119'
X'd9e8540b423ca375c0a80134'
X'dcbd067c3e25d64cc0a80132'
X'fc4d57943e146de7c0a80132'
