X'0cb2257f3f4bb709c0a80133'
X'135e49fd3a021c13c0a80118'
X'1c07474b4227b7ccc0a80132'
X'1de665ed448095f5c0a80134'
X'4e0b22563ec8cb05c0a80134'
X'6eaf71633cc06c04c0a801e1'
X'8a6472743a53d990c0a801e1'
X'8ec046f63afccacac0a80118'
X'97e43ca839f81945c0a801e0'
X'cab230534339e790c0a80133'
X'cc7c11fe3a0c1934c0a80119'
X'e8db094f407f0858ffffffff'
X'ee41378f423778bdc0a80133'
X'fb752ccf40b5ead4c0a80132'
