X'07a3631b4612723ac0a80133'
X'08f229c643c48fb1c0a80132'
X'0bda704249380f51c0a80135'
X'12f2469441e13d9cc0a80132'
X'14dd1beb4512c194c0a80134'
X'1bbe085d422ce0fbc0a80134'
X'2f711eed45573cd5c0a80135'
X'46b248d245b0d9b5c0a80132'
X'4b2b49334380c118c0a80132'
X'4c1311974203212ac0a80132'
X'554671f3469a0461c0a80135'
X'57a002b1466f112bc0a80132'
X'59bf18b54120207dc0a8013c'
X'5ad22ff7496cfff2c0a80135'
X'5b212b0841b4f95fc0a80133'
X'6404598048ef5884c0a80133'
X'69ac21184148973bc0a8013c'
X'76992a91426c2d7bc0a80134'
X'8dae3bba43a9e4cdc0a80133'
X'9b244f4e417284d8c0a80134'
X'a0e401334675fd26c0a80132'
X'a59812c94546f9bdc0a80134'
X'ba98539045e59291c0a80135'
X'bbde64e949cf0609c0a80133'
X'bd0c1cfc468e786ec0a80134'
X'be20323b4aaf3895c0a80135'
X'd4434b14417d4541c0a80134'
X'd4b10174419a4cd6c0a80132'
X'dc755d633d8b9e2ac0a80118'
X'ec8224174239334ac0a80132'
X'f8b863fd46a9eb5ac0a80133'
