X'334f4f71425ca10cc0a80132'
X'416a6e4f4050e68dc0a80133'
X'42074c8f3f112455c0a80134'
X'4ac512fb43a47f83c0a80134'
X'54250296433bdd97c0a80132'
X'5b920a663fc28491c0a80134'
X'5e620a663fc28502c0a80134'
X'62140a663fc2853fc0a80134'
X'6aa6686e42508188c0a80132'
X'8cce655c4069b877ffffffff'
X'8d131a64406b0536ffffffff'
X'a4b42b753d6acf39c0a80119'
X'a4f644223daf41c1c0a80134'
X'c64637d843970adec0a80132'
X'dbc953323a8fe255c0a80118'
X'e44172763edba428c0a80133'
X'f04c42343d45eeaac0a801e2'
X'f46e44a240410251c0a80132'
