X'05ae033641f5430cc0a80134'
X'09b3032d3e4e64f2c0a80135'
X'0d14690d45ac8163c0a80135'
X'18c5744256d7d4bbc0a86fa6'
X'1a1d1b0853582174c0a86f99'
X'264d0c07562369c6c0a86fa6'
X'3909264d521b7dcbc0a80132'
X'3cd857b74e855697c0a80135'
X'3ef72cf356b68143c0a86fa6'
X'3f553bf0509cc7cac0a80135'
X'406f141b54fa5ba1c0a86f98'
X'428219c1574e1584c0a86fa6'
X'467600ea55f7ce2ec0a86fa6'
X'467a00ea55f7ceb0c0a86fa6'
X'4bb6490243ab1231c0a80134'
X'63442175566cb80dc0a86fa6'
X'730a4b4a56cfb394c0a86fa6'
X'8226435d49ed7520c0a80134'
X'8360340c56233a07c0a86fa6'
X'89a349145019276ec0a80134'
X'abab4d324f3841d6c0a80133'
X'acab687a576c28ccc0a86fa6'
X'b3216b2249a5f6fac0a80133'
X'dead4bd942d6b6e7c0a80134'
X'f0be0f6ab810a409c838901d'
X'f6270fd0494eb417c0a80133'
