X'04b30a963c2a915fc0a80118'
X'0f84581339750eb3c0a801e0'
X'103506493ca0ba77c0a80119'
X'1c07474b4227b7ccc0a80132'
X'1e7548763b4c63dcc0a80119'
X'336c289742edadccc0a80134'
X'37753f133a3bb52dc0a801e1'
X'620510e13b1feee1c0a801e1'
X'727b660f43944b66c0a80133'
X'830f3cf73ab09076c0a801e1'
X'9252441f3bdef9b9c0a80119'
X'9d6b036646ae957ac0a80132'
X'a1b1130c3b045771c0a80119'
X'ab08441f3bdf03b8c0a80119'
X'ab4657af3a498f61c0a80118'
X'd9d055aa3a0b5c68c0a80118'
X'f6bb4c7f39a2b1d8c0a801e1'
