X'2b83583b433406f5c0a80132'
X'2d060e283a4b5fa3c0a801e1'
X'2ffd12954a2e536ac0a80133'
X'4c1311974203212ac0a80132'
X'4fb3716a3cb302d6c0a80119'
X'54e752673edcbf2cc0a80132'
X'58031287469ddc16c0a80135'
X'698f2b7747f150a1c0a80134'
X'6a3c016f42fdfacdc0a80132'
X'71d11f214582d7bec0a80134'
X'7c9c69e44677c5a5c0a80133'
X'8fd512c248d3c4d0c0a80134'
X'b27a5f924f42fc8bc0a80133'
X'c6cf26013a4cdfc7c0a801e0'
X'd35b294d50de549ec0a80134'
X'ee141d3947ed2d8dc0a80134'
