X'0c021bbe4eb85841c0a80134'
X'104661e1458a08dfc0a80133'
X'4e95102c46f28fecc0a80133'
X'5cf3730f3daa16c5c0a80135'
X'5fc92df646f28fe3c0a80132'
X'5fca2df646f28fe4c0a80132'
X'69ac21184148973bc0a8013c'
X'ccd3031746b10388c0a80134'
X'd38b1e2b3a0ddcb1c0a80118'
X'd99844b74c92a703c0a80133'
