X'0194431345e341adc0a80133'
X'086e495745e432e6c0a80135'
X'088e233a4601b107c0a80132'
X'1d3d490845f8679ac0a80135'
X'20cc568645e5ceadc0a80135'
X'294e47a345e47542c0a80135'
X'74043f2545e466b8c0a80134'
X'7a823f2545e467fec0a80134'
X'8da272e345e1e4d3c0a80134'
X'8ed157084617dc79c0a80135'
X'8ed857084617dc98c0a80135'
X'913e3b9545f8344bc0a80133'
X'91593b9545f8347ac0a80133'
X'bdac431345e33ebfc0a80133'
X'bdc772e345e1e243c0a80134'
X'c318532e45de1f28c0a80135'
X'c38d72e345e1e69ac0a80134'
X'c42024af45edcbf3c0a80133'
X'cdb2293645e23e59c0a80133'
X'ced0028e45e48249c0a80132'
X'db36431345e34013c0a80133'
X'ed65490845f83deac0a80135'
