X'05f046ec39ee2666c0a80119'
X'0824047941fcd9a1c0a80133'
X'0d4d437f3d933a1fc0a80134'
X'36be5b2a3dadec8dc0a80135'
X'552d54d33a2fad09c0a801e1'
X'58221bc941db2064c0a80132'
X'61e4406a3b0573edc0a801e1'
X'6aa6686e42508188c0a80132'
X'7ec62aba3cacea3cc0a801e0'
X'8c0401933cd22ec0c0a80119'
X'a3ba73253b03606fc0a80119'
X'ab2f49cb413e5275c0a80133'
X'aec705b6425fb203c0a80133'
X'bfcf35e03d9b2504c0a80133'
X'c51303673bf69342c0a801e0'
X'ddbd576a417fe86fc0a80132'
X'e6c771d33bf09d54c0a80119'
X'e95a032d4224eb4dc0a80134'
X'eb3b20663a59cd1ec0a801e0'
X'f23874c34a80678dc0a80146'
X'f6d2286142434836c0a80132'
