X'0fd3204f3e2e8726c0a80133'
X'13004b14417d49cdc0a80134'
X'196d24a24d6c115ac0a80132'
X'20843f9048489cdac0a80135'
X'4124612f4e38f7adc0a80134'
X'484413d64b4f946ac0a80134'
X'66ae01b14cbdffb2c0a80134'
X'7336235243bdf2edc0a80132'
X'b8ab47633fa87eaac0a80134'
X'b8cd43964a4a3246c0a80135'
X'bc86582c4cf9b0abc0a80132'
X'ef4711d94d504dbcc0a80134'
X'f85f519948efb9e7c0a80133'
X'fbff50433de38b9ac0a80134'
