X'0e504a9e429f2a33c0a80132'
X'279a0cf53b5eb9bcc0a801e1'
X'4ae858fe48f049e6c0a80132'
X'8ed868f049f45b81c0a80134'
X'a54b2c7641834367c0a80132'
X'b07e1f7d40aed135c0a80134'
X'bd995b1548ebc2a2c0a80135'
X'bf1702cb46bff3e7c0a80134'
X'c09b028444530df0c0a80134'
X'd38b1e2b3a0ddcb1c0a80118'
X'd441487f44ef45e4c0a80132'
