X'0b22077a3e282cecc0a80132'
X'0da5279d3a5a52f3c0a80118'
X'1b5069503c917946c0a801e0'
X'305b4d103ea902b2c0a80134'
X'453c52753aa136bcc0a801e0'
X'6b865c6f3b445bfdc0a80119'
X'763e034939c29f41c0a801e1'
X'7f9e6abe3c9f5601c0a80118'
X'9a1507ae3a3e4268c0a801e0'
X'eac407a639804a4ac0a80119'
X'ee9059d83bc4739bc0a801e0'
X'f65f5cdb3a58bd47c0a80119'
