X'3334265a419978c5c0a80134'
X'398e5c1e419c2ac9c0a80133'
X'41c2493241904f2fc0a80133'
X'484b5e783cca3e19c0a80119'
X'4a1b6cdd3cd31f77c0a80119'
X'4ed069053cd01181c0a80119'
X'54f62bbf3cbcfbb2c0a801e0'
X'665c67403d6c5098c0a801e0'
X'6fb33fbd419ad6c4c0a80133'
X'771c03653ea1f142c0a80132'
X'8f0e62143e8d24f6c0a80133'
X'e8ac03264292030ec0a80134'
