X'0a2d3dcd42df85c1c0a80134'
X'104a6e6b4263c158c0a80133'
X'13ba074446285b32c0a80132'
X'20be46244063812effffffff'
X'2da06d5a44abc93dc0a80132'
X'40726b963d2e39c4c0a801e0'
X'5afc4ffe45a7ace8c0a80133'
X'5bbd34b145017590c0a80134'
X'5bd402f63dfb3d73c0a80134'
X'60ab5772422c5453c0a80132'
X'63fd6bd145bca66fc0a80134'
X'70dc46ee39ede6fac0a80119'
X'7fa640a0414d8a8dc0a80134'
X'8b3f2bb541dc35dcc0a80132'
X'8c8145553d854013c0a801e2'
X'90f8028e3c217b56c0a80118'
X'a4eb751145b7d880c0a80133'
X'b15270a53d89e775c0a801e2'
X'c27254eb43e3dca9c0a80132'
X'e54372db3d8e818cc0a80132'
X'e8174bee45e1b703c0a80134'
X'e8e040a0414d7808c0a80134'
X'feb15e40459c8467c0a80135'
