X'0529695f41609137c0a80134'
X'0b6941fe4439963bc0a80132'
X'36a4289047a93698c0a80133'
X'45fb32824b0552a2c0a80135'
X'4e274d984547c78ec0a80132'
X'4e7d704943d18e5cc0a80132'
X'66a53b8e4b1d5a72c0a80135'
X'6847583147f027d8c0a80132'
X'6bf7587845185fb3c0a80134'
X'8c953d9e48efc1a8c0a80135'
X'8ee054b7435fa8f7c0a80134'
X'90ea41a543f30650c0a80134'
X'956652e44665da67c0a80133'
X'9fa2110c454cf525c0a80133'
X'a17503b74422aef9c0a80134'
X'a42951993d6a7b79c0a801e2'
X'aa14200844253b97c0a80133'
X'b7b76da3461fb7cfc0a80134'
X'bdb73b9d48438619c0a80132'
X'c5d51dd047a7f291c0a80133'
X'd22360b543e68347c0a80134'
