X'13ba074446285b32c0a80132'
X'2168609e3c6bf88fc0a801e1'
X'41eb1d6b45b76cc4c0a80134'
X'652c72f7472b5203c0a80133'
X'66952b5e43eb9ec8c0a80134'
X'6a3c016f42fdfacdc0a80132'
X'741c1c804185662ec0a80134'
X'79b058344583d7d2c0a80135'
X'7d131c8041856bfec0a80134'
X'bc455e2b4645e972c0a80134'
