X'41ad0fdd4914b804c0a80132'
X'525665a54e170049c0a80134'
X'66053de9418aa346c0a8013c'
X'71d11f214582d7bec0a80134'
X'7336235243bdf2edc0a80132'
X'900b371d418a9ca1c0a8013c'
X'dfa8617e3c35c423c0a80119'
X'e6d56d6d43fddc4dc0a80134'
