X'07142e9d518007f8c0a80132'
X'0932186d48da5b1cc0a80135'
X'10d541f24ddeae98c0a80135'
X'293c18683b77f7a9c0a801e0'
X'29a04a5556b0c03bc0a86fa6'
X'309501014cd5fae3c0a80133'
X'3bb568c047cedb2ac0a80134'
X'4363746a50106fc9c0a80135'
X'4b9f49274c29da61c0a80135'
X'4e04345b55ffc98bc0a86fa6'
X'526709324da3cc5cc0a80133'
X'55af71c24b9c3154c0a80132'
X'64e9085b42119bf1c0a80134'
X'69ac21184148973bc0a8013c'
X'7336235243bdf2edc0a80132'
X'733846ee39ede7a8c0a80119'
X'7da9695556cbe9e5c0a86fa6'
X'7db0695556cbeae0c0a86fa6'
X'84ff663450f9efb5c0a80135'
X'8c96294d4d548bbec0a80135'
X'a54c2a5656321e51c0a86fa6'
X'c00506f948b70ed0c0a80135'
X'cfe5168b49675590c0a80134'
X'ecb9583448b439d2c0a80134'
X'ee6a592c41bb7744c0a80133'
X'f50a07ee3cf790c2c0a801e1'
X'fc7146aa474a3b07c0a80134'
