X'0a8b15f04468d216c0a80132'
X'245c35775081facdc0a80132'
X'3d7054ea4a0b3c3fc0a80135'
X'42e12e8a5283e689c0a80135'
X'4ba25ee84bfbd262c0a80132'
X'50493f6a41e56ba9c0a80133'
X'788770e14d3c4f6ec0a80135'
X'a8c719145489f971c0a86f98'
X'aa856138423200d4c0a80133'
X'b07e1f7d40aed135c0a80134'
X'b8cd43964a4a3246c0a80135'
X'd30845695174c2a3c0a80135'
X'ecbf178f491dd351c0a80133'
X'f04c42343d45eeaac0a801e2'
X'f635205d4f8311bfc0a80133'
X'f99c5336411bc2ffc0a8013c'
X'fa3442bd5582a1c2c0a86f98'
X'fcf66c0a4bc2e472c0a80134'
