X'66093de9418aa357c0a8013c'
X'9884185051b72a59c0a80132'
X'a8ba2aa75266eec0c0a80132'
X'a91b51734923b41dc0a80135'
X'bffb1a0953c5386cc0a86f98'
X'c586502955dcaff3c0a86fa6'
X'ce264dc13a36706fc0a801e0'
X'd25c3d7852d7781ec0a86f98'
X'f99c5336411bc2ffc0a8013c'
