X'12642df53c716574c0a801e0'
X'22aa18c43f2fe1c4c0a80132'
X'7336235243bdf2edc0a80132'
X'793474794244df20c0a80133'
X'812114cc43fbca72c0a80133'
X'a3d8032e47ab3b5cc0a80132'
X'beeb66c147d80d5cc0a80134'
X'd02932ef4947c026c0a80135'
X'd5f6369548c874f6c0a80135'
X'e6573c3143bd5d87c0a80132'
X'ef81528048ee7148c0a80132'
