X'1c5a37cf48dab8b0c0a80134'
X'4a7172fa3a7b389bc0a801e0'
X'76c11c853d8a268ec0a801e0'
X'88c3190a477bbb1bc0a80132'
X'9ca41d7946989dfbc0a80132'
X'bf614aa9437eb46ec0a80133'
X'ce4324aa3e14e5e3c0a80134'
X'e4c851db490b34c3c0a80132'
