X'148b69aa418293a4c0a80133'
X'8a472abc3fdf0e9cc0a80132'
X'34ff74d2426a9689c0a80134'
X'59b4226442c188e3c0a80133'
X'fcdc0d7b52d6c410c0a86f98'
X'f92f30fa41b127e5c0a80134'
