X'24ab00ff43d7c3bec0a80134'
X'2d1d22c04d960a1ac0a80133'
X'54310f8c4a2ed21fc0a80134'
X'6dd835514568bce7c0a80134'
X'7a484ec64bbe9be3c0a80133'
X'8ed868f049f45b81c0a80134'
X'c10b4c8841e4a8f1c0a80132'
X'e3a249be48652911c0a80134'
X'e3bd25584bf5a540c0a80132'
X'efc945c64cf824d8c0a80135'
X'f2d03ca24d1d12eac0a80134'
X'fa8c17833fdee086c0a80134'
