X'0b381b83487523efc0a80132'
X'19a207ad48765489c0a80134'
X'2c010a9d4c370f04c0a80135'
X'38e142013cffa6e2c0a801e1'
X'3d2d42013cffa92bc0a801e1'
X'3ffc289d5250b272c0a80135'
X'5128523f3d00eca6c0a801e1'
X'679a5fda4ebae6adc0a80133'
X'679a5fda4ebae6adc0a80133'
X'67e872a439b94680c0a801e1'
X'ab1b63824f459fd5c0a80132'
X'b3e81d704f1dc64cc0a80134'
X'd04d220b4cbda066c0a80135'
X'd11803703f4256b8c0a80133'
X'daad3140495a672ac0a80132'
