X'0d6f4112466d3b08c0a80132'
X'229c2215397caf61c0a80118'
X'25fd749f44bbac0ec0a80132'
X'291a420d47627385c0a80135'
X'37ce212441dc714dc0a80133'
X'45db332b4427ea55c0a80133'
X'49954742432d61a2c0a80133'
X'56d5292f466caff4c0a80135'
X'61135329458dc08ec0a80132'
X'638e3ce046ee537ac0a80135'
X'65d43de9418aa346c0a8013c'
X'66053de9418aa346c0a8013c'
X'6ce2034641f551fec0a80133'
X'b7e6721747a39559c0a80135'
X'd4b10174419a4cd6c0a80132'
X'ec8224174239334ac0a80132'
