X'013806e53a24162bc0a801e1'
X'0193470e3a379fabc0a801e1'
X'05591ff0397a1b1cc0a801e1'
X'05dd56a43a946a2bc0a801e1'
X'0dd658e93a252c44c0a801e0'
X'0e3d028d42c6fa2ac0a80133'
X'10442b4f3a296c0dc0a801e1'
X'10e644d33a835ec8c0a80118'
X'11ce54bd397f5acec0a80118'
X'12c602393be44831c0a801e1'
X'1ad131c4397bb170c0a801e0'
X'1f9f70863a97e9d3c0a801e0'
X'208410fb3b8f9118c0a801e0'
X'20e059173ac11485c0a801e0'
X'234729f13a00369fc0a801e1'
X'255c24b23980759dc0a80119'
X'255c3c11397cd178c0a80118'
X'2a3d4f973a966c0ec0a80119'
X'2d78418d3a786ffbc0a801e1'
X'2d976919398bd7abc0a80118'
X'2d9859283a410f92c0a801e0'
X'2fd02c1b39a71fa7c0a801e0'
X'390e2e263a09961ac0a801e0'
X'41c35cc23a1e8d9bc0a80118'
X'44c81fc43a088c90c0a801e0'
X'46ce218d39e7641ac0a80119'
X'4b0630713974f36ac0a801e1'
X'4d7512033a1203f1c0a80118'
X'502a412f3a17ab9bc0a80119'
X'51d71fbb397914c4c0a801e0'
X'52bb5fc23a9510e4c0a80119'
X'53f91bb63a7728c7c0a801e1'
X'543a3d5d3a01ca85c0a801e0'
X'555873d2396f8994c0a80119'
X'570a6b3c3973f373c0a801e1'
X'58f053c73aaee8c6c0a80119'
X'592f1faf399cbfa7c0a80119'
X'5a224715397692bec0a801e0'
X'5d353e003976885ec0a801e0'
X'5dc40c723a8204aec0a80119'
X'65a66b7e3a1e96f2c0a801e0'
X'67d6078a39c3605dc0a801e1'
X'68986a48397b4e6dc0a801e1'
X'6c673ccc399f0420c0a801e1'
X'72e52c073aeda74ec0a801e0'
X'77ac47b7399c10e4c0a80118'
X'7a0c5eb839f4007fc0a801e0'
X'7bf2310639faf488c0a801e1'
X'828136c139f840fbc0a80119'
X'830f3cf73ab09076c0a801e1'
X'863a440c39fe3e2fc0a80118'
X'8bf019b83973792fc0a801e0'
X'8dab6db2397fbaa9c0a80119'
X'8e174d8d3c9edf21c0a80119'
X'9241033e39ff967ac0a80119'
X'98103cd539bda524c0a801e0'
X'9d64561d3a20d652c0a80118'
X'9d713631397bbb56c0a801e1'
X'9eb038f439d8cd31c0a80119'
X'a46e10503e302b35c0a80132'
X'a4b029f63a1d3781c0a801e0'
X'a6d0143139f65208c0a801e1'
X'a96d5d153a2469eec0a801e0'
X'adb626173974e05dc0a801e1'
X'ae6c50853a2560d5c0a801e1'
X'b0f450853a25627bc0a801e1'
X'b3a3679b3981d3a9c0a80118'
X'b3ff6c5939d89f70c0a80119'
X'b9ea5d2d3be0209ac0a80118'
X'bb1b2cc93a25c18bc0a80118'
X'bb9438df3a1324d6c0a80118'
X'c1194cb73a39147dc0a801e0'
X'c13d10013a1ca109c0a80118'
X'c38103793a6a9063c0a80118'
X'c3f132473ac62f83c0a80119'
X'c6662579397ba3f0c0a801e0'
X'd2cc6663399b24f8c0a80118'
X'd3d21e613aafc908c0a801e0'
X'd4960d1239f0e9cec0a801e1'
X'd767593a3b02bfe9c0a801e1'
X'dcc705c5397e12dbc0a80118'
X'dd7840c13974e36fc0a801e0'
X'df0b438a3a2bdd8bc0a80118'
X'dfea267e3985df01c0a801e0'
X'e19e438a3a2bddd8c0a80118'
X'e1e62a2c3a54e1f6c0a801e1'
X'e5dc6b593a266d1ec0a80119'
X'e7500bf33ad5cc21c0a80119'
X'ea6306a9397aff59c0a801e0'
X'ecf540b239ad24c3c0a801e0'
X'edd5158639b821cbc0a80151'
X'eed755ca3a7b13e2c0a80118'
X'f0a2024d3995956ec0a801e1'
X'f112322f3f307d01c0a80132'
X'f8202fad397bf0bfc0a80118'
X'f8f03e70396fd8d4c0a80119'
X'fb954e7b3a98a6dbc0a801e1'
X'fdc55dee3af2e86ec0a801e1'
X'feb5412b3a31af45c0a80118'
X'ff63232f39e5dbcdc0a80118'
