X'03043bdb3a11ae63c0a801e0'
X'0444178342adca96c0a80134'
X'09196532452d3381c0a80133'
X'0a145f3b3cbb3f4ec0a80119'
X'0f313af33a2fea30c0a80119'
X'13713633446cad9dc0a80134'
X'191909f840569320c0a80134'
X'3826177d4395bad9c0a80132'
X'3cbd72ba414c2211c0a80134'
X'3fc466e34a7a1c8ac0a80146'
X'46fc608e3c9a3352c0a801e0'
X'47d9612c3b16a6e9c0a801e1'
X'5dc1033d43fdd9f8c0a80134'
X'5e370b3044357999c0a80132'
X'6c386fa93c424859c0a801e1'
X'7ec202b4448d1005c0a80132'
X'854a38c03f9cddcec0a80133'
X'8a712ee244939ebfc0a80134'
X'90a626bb48175b60c0a80134'
X'92ad6df5471ebaaec0a80132'
X'9392687d3fe6b9f7c0a80132'
X'9863146b46da25c8c0a80132'
X'98f01b9d3d78e7cac0a80119'
X'cd82308d4b9392e7c0a80133'
X'd24739233c61a70fc0a801e1'
X'd9f8016f3c2b7bc7c0a80119'
X'f3501f3445a6743bc0a80134'
