X'12eb1b6d3d4f4ab7c0a80118'
X'14e41ac45194453ec0a80132'
X'1a4d1b6d3d4f4e25c0a80118'
X'1c691d7f5194cf72c0a80134'
X'368b541956a65cf1c0a86fa6'
X'38d203e53d4954cdc0a80118'
X'3c2f404e3d1b3035c0a801e2'
X'3c701efa3d3da5f0c0a801e0'
X'3d581633536f7562c0a86f99'
X'72fa0c3b51b205a5c0a80135'
X'742b446a50f62a5bc0a80134'
X'7b7a411a3d194e80c0a801e1'
X'871a15b5403d7fb9c0a80132'
X'9032473d3d97cc0ac0a80135'
X'9050371d418a9cf2c0a8013c'
X'9076371d418a9cf2c0a8013c'
X'9078371d418a9cf2c0a8013c'
X'907a371d418a9cf2c0a8013c'
X'907c371d418a9cf2c0a8013c'
X'9f1e12c43d40cab5c0a801e0'
X'a5e147144fef511bc0a80132'
X'b8cd43964a4a3246c0a80135'
X'e3a807643d11ea06c0a801e0'
