X'197d3ff44babd5c0c0a80132'
X'19b443d63c508161c0a80119'
X'1b3e3dd53bb0eec5c0a801e0'
X'239f2d0f3a0abcf8c0a80119'
X'23e942e439f09abfc0a80119'
X'2a3d40743b9d0927c0a80119'
X'4ccf38cf3b5ed64dc0a80119'
X'56c4478a3d74c99cc0a801e2'
X'5aad39c43a1de2f4c0a80118'
X'72b148a83aa1caa3c0a80118'
X'7835752b41f50795c0a80134'
X'7fa813a33ba75d0ec0a801e0'
X'931d69a43ace2ac2c0a801e0'
X'94666a053a143143c0a801e0'
X'9abb2b1f4268bcb5c0a80132'
X'a51d326b3a267adcc0a80118'
X'ab0f4a703e2eb199c0a80132'
X'ada437ef3d73912bc0a801e2'
X'ba9b3b993a1b2087c0a80119'
X'c6090a9c39f8e9dfc0a801e0'
X'ca7912443a1583d9c0a801e1'
X'e2fb1c5c45cf73dbc0a80132'
